pathway,protein_module_name,psp_uniprot_ids,backup_uniprot_ids
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),c-Abl,,P00519
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),CTSD,,C9JH19
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),CTSD,,C9JH19
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),CTSD,,C9JH19
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),GCase,,
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),GCase,,
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),LRRK2,,C9JBF0
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),LRRK2,,C9JBF0
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),LRRK2,,C9JBF0
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),LRRK2,,C9JBF0
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),LRRK2,,C9JBF0
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),PARK9,,Q9NQ11
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),PARK9,,Q9NQ11
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),Rab10,,P61026
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),Rab5,,P20339
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),Rab5,,P20339
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),Rab5,,P20339
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),Rab7,,P51149
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),Rab7,,P51149
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),Rab7L1,,O14966
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),Rab8,,P61006
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),VPS35,,H3BRJ7
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),VPS35,,H3BRJ7
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),VPS35,,H3BRJ7
23-EMG-93350 Parkisons Disease Pathway popouts_ALL (interactive icon in layer),α-Syn,,O15061
a-Synuclein Aggregation & Phosphorylation_interactive icons,c-Abl,,P00519
a-Synuclein Aggregation & Phosphorylation_interactive icons,CK1,,
a-Synuclein Aggregation & Phosphorylation_interactive icons,CK2,,
