protein_module_name,psp_uniprot_count,backup_uniprot_count
--cat,0,1
14-3-3,0,0
14-3-3ζ,0,0
14-3-3σ,0,0
40S,0,0
43S,0,0
48S,0,0
4E-BP,0,0
4E-BP1,0,0
4E-BP1/2,0,2
4OS,0,0
60S,0,0
[cAMP][Ca,0,1
A20,1,0
ABCA1,1,1
ABCA7,1,0
ABIN,1,0
Abl,1,1
AC,0,0
ACC,0,0
AceCS1,1,0
ACF1,0,1
Acinus,1,0
ACL,0,0
ACSS2,0,1
Actin,6,0
Actinin,4,0
ADAM/TACE,0,1
ADAM10,1,0
ADAM10/ ADAM17,1,0
ADAM17,1,0
ADAMTS1,1,0
ADAP,1,0
ADAR,0,1
ADF,7,0
Afadin,1,0
Ag,0,0
AIF,1,0
AIM2,1,0
AIP4,0,0
Ajuba,1,0
Ajuba/LIM,0,1
Akt,3,3
Akt/PKB,0,3
Akt2,0,1
ALFY,0,0
ALKBH5,0,1
Ambra1,0,1
AMFR,0,1
AMOT,1,0
AMPAR,4,0
Amphiphysin,0,0
AMPK,7,2
AMPKα,0,2
ANGP2,0,1
Ankyrin G,0,0
ANT,0,0
"AOF1/KDM1B (Me1,2)",0,1
AP-2,0,0
AP180,0,1
AP2,0,0
Apaf-1,0,0
Apaf1,1,0
APC,1,0
APE1,1,0
aPKC,2,8
APO-2L/TRAIL,0,1
APO-3L/TWEAK,0,0
ApoE,0,1
APOE4,1,0
APP,1,0
APS,0,2
APTX,1,0
ARD1,0,3
ARD1A,2,0
ARF,0,1
ARF6,1,0
Arginase,1,0
ARHGAP1,1,0
ARID1A/B,0,1
ARID2,0,1
Arp2/3,0,2
"ARP4,5,8",0,2
Artemis,1,0
Arts,1,0
AS160,1,0
ASC,1,0
ASCT2/SLC1A5,0,1
"ASH1L/KMT2H (Me1,2)",0,1
"ASH1L/KMT2H (Me1,2,3)",0,1
ASK1,1,1
ASK1/2,0,1
Ataxin-1,0,0
ATF,1,0
ATF-2,0,1
ATF1,1,0
ATF2,0,1
ATF4,1,1
ATF6-N,0,0
ATF6α,0,1
Atg10,0,1
Atg12,0,1
Atg13,1,1
Atg14,1,1
Atg16L1,0,1
Atg3,0,1
Atg4,0,0
Atg5,0,1
ATG6,1,0
Atg7,0,1
Atg9α,0,0
ATGL,0,1
ATM,1,0
ATM/ATR,0,1
ATP-Citrate lyase,0,0
ATR,1,1
ATRIP,1,0
AurA,0,1
Aurora A,0,0
Aurora B,1,2
Axin,2,0
Axin1,1,0
B-Raf,0,0
Bad,1,0
BAF155/170,0,1
BAF45B/C/D,0,1
BAF47,0,1
BAF53A,0,1
BAF53A/B,0,1
BAF57,0,1
BAF60A,0,1
BAF60A/B/C,0,1
Bak,1,0
Bam32,1,0
Bax,1,0
BCAP,1,0
Bcl-2,0,0
Bcl-3,0,0
Bcl-6,0,0
Bcl-xL,0,0
Bcl10,1,0
BCL2L13,0,1
BCL7A/B/C,0,1
Bcl9,2,0
BCR,2,0
BDP1,0,1
Beclin,0,0
Beclin-1,0,0
Bfl-1,0,0
BID,1,0
Bim,1,0
BIN1,1,0
BiP,1,1
BLNK,1,0
Bmf,0,1
BMI1,1,0
BMP,14,0
BNIP3,0,1
BNIP3L/NIX,0,1
BNP3L,0,0
Bora,1,0
BPTF,1,0
BRCA1,1,1
BRCA2,1,0
BRD4,1,0
BRD7,0,1
BRD9,0,1
Brg1,0,1
BRG1/BRM,0,1
Btk,1,0
BTrCp,1,0
BUB1,1,0
c-Abl,0,1
c-Cbl,0,1
c-Fos,0,1
c-IAP,0,0
c-IAP1/2,0,0
c-Jun,0,1
c-Myc,0,1
C-Myc/N-Myc,0,0
c-Raf,0,3
C-TAK1,0,0
C/EBPβ,0,0
C3G,1,0
CAD,1,0
Cadherin,4,0
CAF1,0,1
Calcineurin,5,0
Calmodulin,1,0
Calpain,3,0
CaM,41,1
CaMK,9,2
CaMKI,6,0
CaMKII,4,0
"CaMKII,-IV",0,0
CaMKIV,1,0
CaMKK,0,0
CAP,0,1
CapZ,5,0
Cardiolipin,0,0
CARM1 (Me2a),0,1
CARMA1,0,1
CAS,0,2
Casp-12,0,0
Casp-2,0,0
Casp-3,0,0
"Casp-3,-6,-7",0,0
"Casp-3,-9",0,0
Casp-6,0,0
Casp-7,0,0
Casp-8,0,0
"Casp-8,-10",0,0
"Casp-8,10",0,0
Casp-9,0,0
CASP3/9,0,1
Caspase 1,0,0
Caspase 8,0,0
Caspase-1,0,0
Caspase4/5/11,0,0
CASS4,1,0
Cathepsin B,1,0
Cathepsins,1,0
Cav,0,1
Caveolin,3,0
Cbl,3,0
CBLL1/HAKAI,0,1
CBP,1,2
CBP/KAT3A,0,2
CBP/p300,0,1
Cbp/PAG,0,1
CD14,1,0
CD19,1,0
CD22,1,0
CD28,1,0
CD2AP,1,0
CD33,1,0
CD4,1,0
CD40,2,0
CD44,1,0
CD45,1,0
CD63,1,0
cdc2,1,1
"cdc2, c-Myc, p107,",0,1
cdc25,1,1
CDC25A,1,0
CDC37,1,0
cdc42,2,0
CDK,1,0
Cdk1,1,0
CDK2,1,0
CDK4/6,0,1
CDK5,1,1
CDK7,1,0
CDON/BOC,0,1
CF1,0,0
CFII,0,0
cGAS,1,0
"CHD3,4",0,1
Chibby,3,0
CHK1,1,1
Chk1/2,0,1
CHK2,1,0
CHOP,1,0
CHRAC15,0,1
CHRAC17,0,1
cIAP,2,0
cIAP1/2,0,0
CIN,1,0
CIN85,0,1
Cip1,0,2
Cip4,1,0
CIP4/2,0,1
CIR,1,0
CK1,6,0
CK2,3,0
CLASP,1,0
Clathrin,4,0
CLIP,3,0
CLIP170,0,0
"CLLD8/KMT1F (Me1,2)",0,1
CLOCK/KAT13D,0,1
CLU,1,0
Cofilin,2,0
Collagen 1,13,0
Collybistin,0,0
