Pathway	input_label	original_psp_uniprot	original_backup_uniprot	mapping_class_original	mapped_gene_symbols_pipe	mapped_gene_symbols_json	n_mapped_symbols	mapping_source	mapping_note	forced_selected_gene_symbol	forced_uniprot_ids	forced_uniprot_count	forced_uniprot_urls
B Cell Receptor Signaling	Ag			non_protein_or_state		[]	0	existing				0	
Mitochondrial Dysfunction_interactive icons	Cardiolipin			non_protein_or_state		[]	0	existing				0	
Mitochondrial Dysfunction_interactive icons	Cardiolipin			non_protein_or_state		[]	0	existing				0	
Mitochondrial Control of Apoptosis	Custom Ellipse			non_protein_or_state		[]	0	existing				0	
Phosphoinositide Signaling	Gα			multi_gene	GNAS|GNAI1|GNAI2|GNAI3|GNAO1|GNAL|GNAQ|GNA11|GNA14|GNA15|GNA12|GNA13	"[""GNAS"",""GNAI1"",""GNAI2"",""GNAI3"",""GNAO1"",""GNAL"",""GNAQ"",""GNA11"",""GNA14"",""GNA15"",""GNA12"",""GNA13""]"	0	existing		GNAS	A2A2R6	1	https://www.uniprot.org/uniprotkb/A2A2R6/entry
Phospholipase Signaling	Gα GTP			multi_gene	GNAS|GNAI1|GNAI2|GNAI3|GNAO1|GNAL|GNAQ|GNA11|GNA14|GNA15|GNA12|GNA13	"[""GNAS"",""GNAI1"",""GNAI2"",""GNAI3"",""GNAO1"",""GNAL"",""GNAQ"",""GNA11"",""GNA14"",""GNA15"",""GNA12"",""GNA13""]"	0	existing		GNAS	A2A2R6	1	https://www.uniprot.org/uniprotkb/A2A2R6/entry
PI3 Kinase-Akt Signaling	Gα GTP			multi_gene	GNAS|GNAI1|GNAI2|GNAI3|GNAO1|GNAL|GNAQ|GNA11|GNA14|GNA15|GNA12|GNA13	"[""GNAS"",""GNAI1"",""GNAI2"",""GNAI3"",""GNAO1"",""GNAL"",""GNAQ"",""GNA11"",""GNA14"",""GNA15"",""GNA12"",""GNA13""]"	0	existing		GNAS	A2A2R6	1	https://www.uniprot.org/uniprotkb/A2A2R6/entry
Dopamine Signaling_interactive icons	Gαi			multi_gene	GNAI1|GNAI2|GNAI3	" [""GNAI1"",""GNAI2"",""GNAI3""]"	0	existing		GNAI1	P63096	1	https://www.uniprot.org/uniprotkb/P63096/entry
AMPK Signaling	Gαq			multi_gene	GNAQ|GNA11|GNA14|GNA15 	"[""GNAQ"",""GNA11"",""GNA14"",""GNA15""]"	0	existing		GNAQ	B1AM21	1	https://www.uniprot.org/uniprotkb/B1AM21/entry
G Protein-Coupled Receptors Signaling to MAPK-Erk	Gαq			multi_gene	GNAQ|GNA11|GNA14|GNA15 	"[""GNAQ"",""GNA11"",""GNA14"",""GNA15""]"	0	existing		GNAQ	B1AM21	1	https://www.uniprot.org/uniprotkb/B1AM21/entry
Dopamine Signaling_interactive icons	Gαs			alias_needs_manual_review	GNAS	" [""GNAS""]"	0	existing		GNAS	A2A2R6	1	https://www.uniprot.org/uniprotkb/A2A2R6/entry
Hippo Signaling ON-OFF	Gαs			alias_needs_manual_review	GNAS	" [""GNAS""]"	0	existing		GNAS	A2A2R6	1	https://www.uniprot.org/uniprotkb/A2A2R6/entry
Adherens Junction Dynamics	Gβ1			alias_needs_manual_review	GNB1	"[""GNB1""]"	0	existing		GNB1	B1AKQ8	1	https://www.uniprot.org/uniprotkb/B1AKQ8/entry
Phospholipase Signaling	Gβγ			multi_gene	GNB1|GNB2	"[""GNB1"",""GNB2""]"	0	existing		GNB1	B1AKQ8	1	https://www.uniprot.org/uniprotkb/B1AKQ8/entry
PI3 Kinase-Akt Signaling	Gβγ			multi_gene	GNB1|GNB2	"[""GNB1"",""GNB2""]"	0	existing		GNB1	B1AKQ8	1	https://www.uniprot.org/uniprotkb/B1AKQ8/entry
SAPK-JNK Signaling	Gβγ			multi_gene	GNB1|GNB2	"[""GNB1"",""GNB2""]"	0	existing		GNB1	B1AKQ8	1	https://www.uniprot.org/uniprotkb/B1AKQ8/entry
AMPK Signaling	GβL			alias_needs_manual_review	GNB2L1	"[""GNB2L1""]"	0	existing		GNB2L1	P63244	1	https://www.uniprot.org/uniprotkb/P63244/entry
