Uniprot_ID	KEGG_Gene_ID
UniProtID	NA
A0A075F5C6	NA
A0A087WPF7	NA
A0A087WPT2	NA
A0A087WRK1	mmu:73329
A0A087WRT4	NA
A0A087WSP5	mmu:20846
A0A088MLT8	mmu:100505386
A0A0A6YWL7	NA
A0A0A6YXR0	NA
A0A0A6YXU9	NA
A0A0B4J1F4	mmu:66412
A0A0B4J1G0	mmu:246256
A0A0B4J1N3	mmu:70045
A0A0G2JDV3	NA
A0A0G2JGI9	NA
A0A0G2JGS4	NA
A0A0R4IZW4	mmu:18591
A0A0R4IZW5	mmu:12550
A0A0R4IZY3	mmu:14186
A0A0R4J008	mmu:15182
A0A0R4J049	mmu:27374
A0A0R4J083	mmu:11363
A0A0R4J097	mmu:21814
A0A0R4J0A4	mmu:14254
A0A0R4J0A9	mmu:16974
A0A0R4J0B3	mmu:22241
A0A0R4J0B6	mmu:26357
A0A0R4J0N8	mmu:12767
A0A0R4J0P2	mmu:14841
A0A0R4J104	mmu:13132
A0A0R4J115	mmu:20897
A0A0R4J136	mmu:78925
A0A0R4J1M7	NA
A0A0U1RNJ1	NA
A0A0U1RNR0	NA
A0A0U1RPR8	mmu:14918
A0A140LHU0	NA
A0A140LI88	NA
A0A140LIF8	mmu:54396
A0A1B0GR13	NA
A0A1B0GRJ9	NA
A0A1B0GSQ5	NA
A0A1D5RLQ9	NA
A0A1D9BZF0	NA
A0A1L1SQU7	NA
A0A1L1SSL9	mmu:245000
A0A1L1STC6	NA
A0A1L1SUI3	NA
A0A1L1SUV7	NA
A0A1L1SV42	NA
A0A1W2P872	mmu:384569
A0A1Y7VMN0	NA
A0A1Y7VMP7	NA
A0A1Y7VNZ6	NA
A0A286YE25	NA
A0A2I3BQE0	NA
A0A2R8VHR8	NA
A0A3B2WC92	NA
A0A3Q4EGQ9	NA
A0A3Q4EGR2	NA
A0A494B9E3	NA
A0A494B9X3	NA
A0A494BA31	mmu:240215
A0A494BAW1	NA
A0A494BBH5	NA
A0A494BBP6	NA
A0A571BDN7	NA
A0A571BEE2	NA
A0A571BG59	NA
A0A5F8MP90	NA
A0A5F8MPH8	NA
A0A5F8MPM8	NA
A0A5F8MPU3	NA
A0A5F8MPX1	NA
A0A5F8MQ39	NA
A0A5K7RLP0	NA
A0AA74KSS6	NA
A0AA74KT59	NA
A0AUV4	mmu:635895
A0JNT9	mmu:75665
A0JNU3	mmu:104816
A1A546	mmu:71597
A1A547	mmu:242100
A1E960	mmu:69592
A1KXC4	mmu:69169
A1L314	mmu:17476
A1L3C1	mmu:75538
A1L3P4	mmu:236794
A1Y9I9	mmu:791260
A1Z198	mmu:637515
A2A259	mmu:329064
A2A432	mmu:72584
A2A5K6	mmu:329559
A2A5N8	mmu:241764
A2A5R2	mmu:99371
A2A5Z6	mmu:66313
A2A6C4	mmu:237958
A2A6Q5	mmu:217232
A2A7Q9	NA
A2A813	NA
A2A815	NA
A2A825	mmu:76166
A2A848	NA
A2A863	NA
A2A884	mmu:16656
A2A8L1	NA
A2A8L5	mmu:19268
A2A8U2	mmu:230917
A2A935	mmu:70673
A2A974	mmu:13118
A2A9A2	mmu:242620
A2A9C3	mmu:230676
A2A9F4	mmu:69073
A2AA28	mmu:74319
A2AAE1	mmu:229227
A2AAJ9	NA
A2AAY5	mmu:268396
A2ABV5	mmu:26896
A2AC93	mmu:432611
A2AD83	mmu:385354
A2AF47	mmu:75974
A2AG06	mmu:268491
A2AG50	mmu:78283
A2AG68	NA
A2AGH6	mmu:59024
A2AGL3	NA
A2AGT5	mmu:75786
A2AH22	mmu:228361
A2AHL1	mmu:228432
A2AI05	mmu:78797
A2AI08	mmu:97031
A2AI21	NA
A2AI57	NA
A2AIP0	mmu:329831
A2AIR5	mmu:242443
A2AIV2	mmu:66185
A2AIV8	mmu:332579
A2AIW0	mmu:68112
A2AJ15	mmu:227619
A2AJ76	NA
A2AJ77	mmu:381359
A2AJ88	mmu:241274
A2AJB7	mmu:13863
A2AJI0	mmu:245877
A2AJK6	mmu:320790
A2AJN7	mmu:269356
A2AJX4	mmu:102635496
A2AKK5	mmu:230161
A2AKQ0	mmu:242585
A2AKX3	mmu:269254
A2AL36	NA
A2ALS5	mmu:110351
A2ALU4	mmu:110380
A2ALV5	NA
A2AM05	mmu:338349
A2AM29	mmu:70122
A2AMM0	mmu:68016
A2AMT1	mmu:12075
A2AN08	mmu:69116
A2ANU3	mmu:433485
A2AP18	mmu:269615
A2APB8	mmu:72119
A2APC3	mmu:74711
A2APF3	mmu:664799
A2APM2	mmu:12505
A2APX8	mmu:20265
A2AQ07	mmu:545486
A2AQ19	mmu:76246
A2AQ25	mmu:208618
A2AQ92	mmu:99439
A2AQ99	NA
A2AR95	mmu:241576
A2ARA8	mmu:241226
A2ARI4	mmu:107515
A2ARP1	mmu:327655
A2ARP9	NA
A2ARV4	mmu:14725
A2AS55	mmu:320816
A2AS89	mmu:75986
A2ASI5	mmu:20269
A2ASQ1	NA
A2ASS6	NA
A2ASZ8	mmu:227731
A2AT37	mmu:326622
A2ATU9	NA
A2AU37	mmu:668929
A2AU72	mmu:70882
A2AUC9	mmu:228003
A2AUM0	mmu:27103
A2AUM9	mmu:99100
A2AUU0	mmu:228019
A2AVA0	mmu:64817
A2AVZ9	mmu:58207
A2AWL7	mmu:29808
A2AWP0	mmu:329581
A2AX52	mmu:68553
A2BDX3	mmu:69372
A2BH40	mmu:93760
A2CG49	mmu:545156
A2CG63	mmu:94246
A2KF29	NA
A2RST1	mmu:211666
A2RSY6	mmu:98685
A2RT67	mmu:105841
A2RTF1	mmu:271036
A3FIN4	mmu:320571
A3KFM7	mmu:71389
A3KFX0	mmu:230718
A3KG59	mmu:242377
A3KG93	NA
A3KGF7	mmu:18796
A3KGS3	mmu:241694
A3KGV1	mmu:18286
A4Q9E5	mmu:101100
A4Q9E8	mmu:237930
A4Q9F0	mmu:70892
A4Q9F1	mmu:239591
A4Q9F3	mmu:330010
A4Q9F4	mmu:74410
A4QPC6	mmu:238555
A4UUI3	mmu:17472
A6H630	mmu:73419
A6H639	mmu:21645
A6H687	mmu:66406
A6H6A9	mmu:29809
A6H6E2	mmu:105450
A6H8H2	mmu:329877
A6H8H5	mmu:98741
A6PWV3	mmu:69314
A6X8Z5	mmu:12549
A6X935	mmu:16427
A7L9Z8	mmu:69047
A7M7C7	mmu:664805
A7MCT6	mmu:214253
A7RDN6	NA
A7TZE6	mmu:639781
A8VU90	mmu:234396
A9Q751	mmu:226356
B0F2B4	NA
B0V2N1	mmu:19280
B1AQJ2	mmu:72344
B1AR17	mmu:216848
B1AS29	mmu:14807
B1ASB6	mmu:622480
B1ASP2	NA
B1ATI0	NA
B1AUH1	mmu:19273
B1AVY7	mmu:16558
B1AWC8	NA
B1AWC9	NA
B1AWD0	mmu:18578
B1AWD1	NA
B1AWL2	mmu:242466
B1AWN4	mmu:319767
B1AWN6	mmu:110876
B1AWS8	NA
B1AXD8	mmu:433693
B1AXF5	NA
B1AXV0	mmu:230235
B1AY10	mmu:74164
B1AY15	mmu:635253
B1AYL1	mmu:20272
B1AZ99	mmu:73162
B1AZI6	mmu:331401
B1AZP2	mmu:228836
B1B0V2	mmu:102991
B2KF05	mmu:268936
B2RPY5	mmu:240888
B2RQC6	mmu:69719
B2RQL2	mmu:216021
B2RQR8	mmu:107522
B2RR83	mmu:240255
B2RRD7	mmu:78783
B2RRE7	mmu:73945
B2RS91	mmu:106298
B2RSH2	mmu:14677
B2RU80	mmu:19263
