Uniprot_ID	KEGG_rno
UniProtID	NA
A0A096MIT4	NA
A0A096MIX7	NA
A0A096MJ06	NA
A0A096MJ39	NA
A0A096MJE9	NA
A0A096MJF0	NA
A0A096MJH1	NA
A0A096MJH5	NA
A0A096MJN4	NA
A0A096MJU6	NA
A0A096MJY4	NA
A0A096MK47	NA
A0A096MK89	NA
A0A096MK92	NA
A0A096MKA9	NA
A0A096P6L8	rno:25661
A0A0A0MXU8	NA
A0A0A0MXV4	NA
A0A0A0MXW7	NA
A0A0A0MXZ5	rno:306257
A0A0G2JSH4	NA
A0A0G2JSI8	NA
A0A0G2JSK5	NA
A0A0G2JSQ2	NA
A0A0G2JSQ5	rno:81516
A0A0G2JSQ6	NA
A0A0G2JSR4	NA
A0A0G2JSS7	rno:58924
A0A0G2JST8	rno:360230
A0A0G2JSV4	NA
A0A0G2JSY7	rno:24717
A0A0G2JT64	NA
A0A0G2JT82	NA
A0A0G2JT93	NA
A0A0G2JTA5	NA
A0A0G2JTB3	NA
A0A0G2JTD7	NA
A0A0G2JTH7	NA
A0A0G2JTL2	NA
A0A0G2JTL4	NA
A0A0G2JTN5	NA
A0A0G2JTR4	rno:287537
A0A0G2JTT2	NA
A0A0G2JTZ2	rno:293165
A0A0G2JU12	NA
A0A0G2JU23	NA
A0A0G2JU91	NA
A0A0G2JUA7	NA
A0A0G2JUC8	NA
A0A0G2JUD6	NA
A0A0G2JUF9	NA
A0A0G2JUG6	NA
A0A0G2JUG7	NA
A0A0G2JUI5	NA
A0A0G2JUK0	NA
A0A0G2JUY1	NA
A0A0G2JV04	NA
A0A0G2JV08	NA
A0A0G2JV24	NA
A0A0G2JVA1	NA
A0A0G2JVB8	NA
A0A0G2JVC1	NA
A0A0G2JVC4	NA
A0A0G2JVD2	rno:301113
A0A0G2JVD9	NA
A0A0G2JVH3	NA
A0A0G2JVK0	NA
A0A0G2JVK6	NA
A0A0G2JVK8	NA
A0A0G2JVL3	NA
A0A0G2JVQ2	NA
A0A0G2JVX7	NA
A0A0G2JVY9	rno:114494
A0A0G2JVZ6	NA
A0A0G2JVZ8	NA
A0A0G2JW03	NA
A0A0G2JW33	NA
A0A0G2JW59	NA
A0A0G2JWC7	NA
A0A0G2JWG8	NA
A0A0G2JWI0	NA
A0A0G2JWL3	NA
A0A0G2JWL5	NA
A0A0G2JWP8	NA
A0A0G2JWT3	NA
A0A0G2JX15	NA
A0A0G2JX20	NA
A0A0G2JX62	NA
A0A0G2JX93	NA
A0A0G2JX94	NA
A0A0G2JXA6	NA
A0A0G2JXC5	NA
A0A0G2JXD7	NA
A0A0G2JXH0	NA
A0A0G2JXH1	NA
A0A0G2JXL2	NA
A0A0G2JXM1	NA
A0A0G2JXN2	NA
A0A0G2JXU8	NA
A0A0G2JXV2	NA
A0A0G2JXX6	NA
A0A0G2JXX8	NA
A0A0G2JXZ9	NA
A0A0G2JY03	NA
A0A0G2JY48	NA
A0A0G2JYD6	NA
A0A0G2JYE6	NA
A0A0G2JYF7	NA
A0A0G2JYI3	NA
A0A0G2JYN5	NA
A0A0G2JYR2	NA
A0A0G2JYX9	NA
A0A0G2JZ47	NA
A0A0G2JZ52	NA
A0A0G2JZ56	NA
A0A0G2JZ79	NA
A0A0G2JZA1	NA
A0A0G2JZE2	NA
A0A0G2JZG4	NA
A0A0G2JZL6	NA
A0A0G2JZM5	NA
A0A0G2JZV3	NA
A0A0G2JZW9	NA
A0A0G2JZY6	NA
A0A0G2K052	NA
A0A0G2K082	NA
A0A0G2K095	NA
A0A0G2K0D4	NA
A0A0G2K0H3	NA
A0A0G2K0I6	NA
A0A0G2K0J4	NA
A0A0G2K0P1	NA
A0A0G2K0X0	NA
A0A0G2K0X4	NA
A0A0G2K105	NA
A0A0G2K118	NA
A0A0G2K134	NA
A0A0G2K151	NA
A0A0G2K157	NA
A0A0G2K163	NA
A0A0G2K184	NA
A0A0G2K1B6	NA
A0A0G2K1C6	NA
A0A0G2K1E2	NA
A0A0G2K1F2	NA
A0A0G2K1L0	NA
A0A0G2K1M2	NA
A0A0G2K1M7	NA
A0A0G2K1Q8	NA
A0A0G2K210	NA
A0A0G2K212	NA
A0A0G2K249	NA
A0A0G2K2A5	NA
A0A0G2K2C0	NA
A0A0G2K2C7	NA
A0A0G2K2H0	NA
A0A0G2K2H4	NA
A0A0G2K2I0	NA
A0A0G2K2M3	NA
A0A0G2K2P5	NA
A0A0G2K2Y2	NA
A0A0G2K2Z2	NA
A0A0G2K309	NA
A0A0G2K363	NA
A0A0G2K366	NA
A0A0G2K399	NA
A0A0G2K3B1	NA
A0A0G2K3B7	NA
A0A0G2K3H5	NA
A0A0G2K3I9	NA
A0A0G2K3N6	NA
A0A0G2K3S9	NA
A0A0G2K3V0	NA
A0A0G2K3V4	NA
A0A0G2K3Y9	NA
A0A0G2K428	NA
A0A0G2K437	NA
A0A0G2K470	NA
A0A0G2K472	NA
A0A0G2K475	rno:360588
A0A0G2K490	NA
A0A0G2K4C5	NA
A0A0G2K4L8	NA
A0A0G2K4P0	rno:290350
A0A0G2K4U1	NA
A0A0G2K4Z7	NA
A0A0G2K548	NA
A0A0G2K590	NA
A0A0G2K5B6	NA
A0A0G2K5E4	NA
A0A0G2K5I7	NA
A0A0G2K5K7	NA
A0A0G2K5L3	rno:291061
A0A0G2K5L6	NA
A0A0G2K5M1	NA
A0A0G2K5N6	rno:25537
A0A0G2K5Q0	NA
A0A0G2K5R3	NA
A0A0G2K5T2	NA
A0A0G2K5V8	NA
A0A0G2K5X6	NA
A0A0G2K5Y7	NA
A0A0G2K5Z1	NA
A0A0G2K612	NA
A0A0G2K618	NA
A0A0G2K628	NA
A0A0G2K675	NA
A0A0G2K677	rno:308458
A0A0G2K692	NA
A0A0G2K6D0	NA
A0A0G2K6K0	rno:500129
A0A0G2K6M9	NA
A0A0G2K6Q8	rno:315294
A0A0G2K6R9	NA
A0A0G2K6S0	NA
A0A0G2K6S7	NA
A0A0G2K6U7	NA
A0A0G2K715	rno:314787
A0A0G2K719	NA
A0A0G2K736	NA
A0A0G2K7B6	NA
A0A0G2K7C1	NA
A0A0G2K7C2	rno:309523
A0A0G2K7Q4	NA
A0A0G2K7T0	NA
A0A0G2K7W4	NA
A0A0G2K7X2	NA
A0A0G2K8F9	NA
A0A0G2K8G0	NA
A0A0G2K8H8	NA
A0A0G2K8J3	NA
A0A0G2K8T6	NA
A0A0G2K929	NA
A0A0G2K970	NA
A0A0G2K986	NA
