Uniprot_ID	KEGG_sce
UniProtID	NA
A0A0B7P3V8	sce:YPL060C-A
D6VTK4	sce:YFL026W
O13297	sce:YPL228W
O13329	sce:YDR110W
O13516	sce:YPL081W
O13527	sce:YAR009C
O13535	sce:YHR214C-B
O13539	sce:YHR167W
O13547	sce:YLR390W-A
O13563	sce:YLR421C
O14467	sce:YOR298C-A
O60200	sce:YKL053C-A
O74700	sce:YEL020W-A
O94742	sce:YDR363W-A
P00044	sce:YJR048W
P00163	sce:Q0105
P00175	sce:YML054C
P00330	sce:YOL086C
P00331	sce:YMR303C
P00358	sce:YJR009C
P00359	sce:YGR192C
P00360	sce:YJL052W
P00401	sce:Q0045
P00410	sce:Q0250
P00420	sce:Q0275
P00445	sce:YJR104C
P00546	sce:YBR160W
P00549	sce:YAL038W
P00560	sce:YCR012W
P00572	sce:YJR057W
P00635	sce:YBR093C
P00724	sce:YIL162W
P00729	sce:YMR297W
P00812	sce:YPL111W
P00815	sce:YCL030C
P00817	sce:YBR011C
P00854	sce:Q0085
P00924	sce:YGR254W
P00925	sce:YHR174W
P00937	sce:YKL211C
P00942	sce:YDR050C
P00950	sce:YKL152C
P01094	sce:YMR174C
P01119	sce:YOR101W
P01120	sce:YNL098C
P01123	sce:YFL038C
P02293	sce:YDR224C
P02294	sce:YBL002W
P02309	sce:YNL030W
P02400	sce:YDR382W
P02406	sce:YGL103W
P02557	sce:YFL037W
P02829	sce:YPL240C
P02994	sce:YPR080W
P03069	sce:YEL009C
P03870	NA
P03871	NA
P03873	sce:Q0110
P03877	sce:Q0060
P03878	sce:Q0065
P03879	sce:Q0120
P03962	sce:YEL021W
P03965	sce:YJR109C
P04050	sce:YDL140C
P04051	sce:YOR116C
P04385	sce:YBR020W
P04386	sce:YPL248C
P04387	sce:YML051W
P04397	sce:YBR019C
P04449	sce:YGL031C
P04456	sce:YOL127W
P04786	sce:YOL006C
P04806	sce:YFR053C
P04807	sce:YGL253W
P04817	sce:YEL063C
P04819	sce:YDL164C
P04821	sce:YLR310C
P04840	sce:YNL055C
P04911	sce:YDR225W
P04912	sce:YBL003C
P05030	sce:YGL008C
P05150	sce:YJL088W
P05317	sce:YLR340W
P05318	sce:YDL081C
P05319	sce:YOL039W
P05373	sce:YGL040C
P05374	sce:YGR157W
P05375	sce:YJR073C
P05453	sce:YDR172W
P05737	sce:YGL076C
P05739	sce:YLR448W
P05740	sce:YKL180W
P05744	sce:YPL143W
P05745	sce:YMR194W
P05748	sce:YLR029C
P05750	sce:YNL178W
P05755	sce:YBR189W
P05756	sce:YDR064W
P05759	sce:YLR167W
P05986	sce:YKL166C
P06100	sce:YDL165W
P06101	sce:YDR168W
P06102	sce:YIL038C
P06103	sce:YOR361C
P06104	sce:YGL058W
P06105	sce:YJL080C
P06106	sce:YLR303W
P06115	sce:YGR088W
P06169	sce:YLR044C
P06197	sce:YPR113W
P06208	sce:YNL104C
P06242	sce:YDL108W
P06243	sce:YDL017W
P06244	sce:YJL164C
P06245	sce:YPL203W
P06367	sce:YCR031C
P06634	sce:YOR204W
P06700	sce:YDL042C
P06701	sce:YLR442C
P06704	sce:YOR257W
P06738	sce:YPR160W
P06774	sce:YGL237C
P06777	sce:YPL022W
P06778	sce:YML032C
P06779	sce:YJR052W
P06780	sce:YPR165W
P06781	sce:YNL090W
P06782	sce:YDR477W
P06784	sce:YDL159W
P06785	sce:YOR074C
P06786	sce:YNL088W
P06787	sce:YBR109C
P06838	sce:YML095C
P06839	sce:YER171W
P06843	sce:YER161C
P06844	sce:YDR392W
P07149	sce:YKL182W
P07170	sce:YDR226W
P07213	sce:YNL121C
P07248	sce:YDR216W
P07249	sce:YMR042W
P07250	sce:YDR173C
P07258	sce:YOR303W
P07259	sce:YJL130C
P07260	sce:YOL139C
P07261	sce:YPL075W
P07264	sce:YGL009C
P07267	sce:YPL154C
P07269	sce:YDL106C
P07270	sce:YFR034C
P07271	sce:YML061C
P07272	sce:YLR014C
P07273	sce:YGL043W
P07274	sce:YOR122C
P07276	sce:YGR258C
P07277	sce:YMR208W
P07278	sce:YIL033C
P07280	sce:YOL121C
P07281	sce:YNL302C
P07283	sce:YFL045C
P07286	sce:YBR243C
P07347	sce:YHR013C
P07560	sce:YFL005W
P07702	sce:YBR115C
P07703	sce:YPR110C
P07834	sce:YFL009W
P07866	sce:YAL024C
P07884	sce:YOR274W
P07991	sce:YLR438W
P08004	sce:YNL192W
P08018	sce:YJL128C
P08153	sce:YDR146C
P08432	sce:YKL184W
P08456	sce:YER026C
P08458	sce:YDR523C
P08466	sce:YJL208C
P08518	sce:YOR151C
P08524	sce:YJL167W
P08536	sce:YJR010W
P08539	sce:YHR005C
P08566	sce:YDR127W
P08638	sce:YLR451W
P08640	sce:YIR019C
P08678	sce:YJL005W
P08964	sce:YHR023W
P09032	sce:YOR260W
