Organism_Code	Organism_Name
hsa Homo sapiens (human)
ptr	Pan troglodytes (chimpanzee)
pps	Pan paniscus (bonobo)
ggo	Gorilla gorilla gorilla (western lowland gorilla)
pon	Pongo abelii (Sumatran orangutan)
ppyg	Pongo pygmaeus (Bornean orangutan)
nle	Nomascus leucogenys (northern white-cheeked gibbon)
hmh	Hylobates moloch (silvery gibbon)
ssyn	Symphalangus syndactylus (siamang)
mcc	Macaca mulatta (rhesus monkey)
mcf	Macaca fascicularis (crab-eating macaque)
mthb	Macaca thibetana thibetana (Pere David's macaque)
mni	Macaca nemestrina (pig-tailed macaque)
csab	Chlorocebus sabaeus (green monkey)
caty	Cercocebus atys (sooty mangabey)
panu	Papio anubis (olive baboon)
tge	Theropithecus gelada (gelada)
mleu	Mandrillus leucophaeus (drill)
rro	Rhinopithecus roxellana (golden snub-nosed monkey)
rbb	Rhinopithecus bieti (black snub-nosed monkey)
tfn	Trachypithecus francoisi (Francois's langur)
pteh	Piliocolobus tephrosceles (Ugandan red Colobus)
cang	Colobus angolensis palliatus (Angola colobus)
cjc	Callithrix jacchus (white-tufted-ear marmoset)
sbq	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)
cimi	Cebus imitator (Panamanian white-faced capuchin)
anan	Aotus nancymaae (Ma's night monkey)
csyr	Carlito syrichta (Philippine tarsier)
mmur	Microcebus murinus (gray mouse lemur)
lcat	Lemur catta (Ring-tailed lemur)
pcoq	Propithecus coquereli (Coquerel's sifaka)
oga	Otolemur garnettii (small-eared galago)
mmu	Mus musculus (house mouse)
mcal	Mus caroli (Ryukyu mouse)
mpah	Mus pahari (shrew mouse)
rno	Rattus norvegicus (rat)
mcoc	Mastomys coucha (southern multimammate mouse)
anu	Arvicanthis niloticus (African grass rat)
asyl	Apodemus sylvaticus (European woodmouse)
mun	Meriones unguiculatus (Mongolian gerbil)
cge	Cricetulus griseus (Chinese hamster)
maua	Mesocricetus auratus (golden hamster)
prob	Phodopus roborovskii (desert hamster)
pleu	Peromyscus leucopus (white-footed mouse)
morg	Microtus oregoni (creeping vole)
mfot	Alexandromys fortis (reed vole)
aamp	Arvicola amphibius (Eurasian water vole)
ngi	Nannospalax galili (Upper Galilee mountains blind mole rat)
hgl	Heterocephalus glaber (naked mole-rat)
cpoc	Cavia porcellus (domestic guinea pig)
ccan	Castor canadensis (American beaver)
dord	Dipodomys ordii (Ord's kangaroo rat)
dsp	Dipodomys spectabilis (banner-tailed kangaroo rat)
plop	Perognathus longimembris pacificus (Pacific pocket mouse)
ncar	Sciurus carolinensis (gray squirrel)
mmma	Marmota marmota marmota (Alpine marmot)
iti	Ictidomys tridecemlineatus (thirteen-lined ground squirrel)
ocu	Oryctolagus cuniculus (rabbit)
opi	Ochotona princeps (American pika)
tup	Tupaia chinensis (Chinese tree shrew)
gvr	Galeopterus variegatus (Sunda flying lemur)
cfa	Canis lupus familiaris (dog)
clud	Canis lupus dingo (dingo)
vvp	Vulpes vulpes (red fox)
vlg	Vulpes lagopus (Arctic fox)
npo	Nyctereutes procyonoides (raccoon dog)
aml	Ailuropoda melanoleuca (giant panda)
umr	Ursus maritimus (polar bear)
uah	Ursus arctos (brown bear)
uar	Ursus americanus (American black bear)
elk	Enhydra lutris kenyoni (northern sea otter)
llv	Lutra lutra (Eurasian river otter)
mpuf	Mustela putorius furo (domestic ferret)
mnp	Mustela nigripes (black-footed ferret)
mlk	Mustela lutreola (European mink)
nvs	Neogale vison (American mink)
oro	Odobenus rosmarus divergens (Pacific walrus)
eju	Eumetopias jubatus (Steller sea lion)
zca	Zalophus californianus (California sea lion)
mlx	Mirounga leonina (Southern elephant seal)
nsu	Neomonachus schauinslandi (Hawaiian monk seal)
lww	Leptonychotes weddellii (Weddell seal)
fca	Felis catus (domestic cat)
pyu	Puma yagouaroundi (jaguarundi)
pcoo	Puma concolor (puma)
pbg	Prionailurus bengalensis (leopard cat)
pviv	Prionailurus viverrinus (fishing cat)
lruf	Lynx rufus (bobcat)
lgf	Leopardus geoffroyi (Geoffroy's cat)
aju	Acinonyx jubatus (cheetah)
ptg	Panthera tigris altaica (Amur tiger)
ppad	Panthera pardus (leopard)
puc	Panthera uncia (snow leopard)
plez	Panthera leo (lion)
hhv	Hyaena hyaena (striped hyena)
bta	Bos taurus (cow)
bom	Bos mutus (wild yak)
biu	Bos indicus (zebu cattle)
bbub	Bubalus bubalis (water buffalo)
bbis	Bison bison bison (American bison)
chx	Capra hircus (goat)
oas	Ovis aries (sheep)
btax	Budorcas taxicolor (takin)
csum	Capricornis sumatraensis (Sumatran serow)
oda	Oryx dammah (scimitar-horned oryx)
ccad	Cervus canadensis (wapiti)
mree	Muntiacus reevesi (Reeves' muntjac)
