Uniprot_ID,Gene Symbol,C: 853_0hr_x-y_853_1hr,C: 853_0hr_x-y_853_4hr,C: 853_0hr_x-y_853_12hr,C: 853_0hr_x-y_853_24hr,C: 853_0hr_x-y_853_72hr
Q76L83,ASXL2,-0.20209,-0.237947,-0.460919,-0.43243,-0.595481
O60341,KDM1A,-0.253164,-0.248998,-0.149881,-0.299738,-0.224597
Q99453,PHX2B,1.58243,0.731394,0.97314,1.6233,1.03752
Q96JP5,ZFP91,-0.285265,-0.162527,-0.15204,-0.108292,-0.119548
Q8N697,S15A4,-0.192904,0.0371716,0.619546,0.594211,0.217505
Q9Y4H2,IRS2,0.644325,0.489665,0.0354285,-0.0833459,0.600658
P36578,RL4,0.501044,0.50352,0.263835,0.38733,0.507928
Q96T58,MINT,-0.0756235,-0.0474164,0.0121412,-0.0139647,0.0408673
Q6SPF0,SAMD1,-0.272329,0.00640178,0.0123823,-0.24217,-0.25843
Q9ULW3,ABT1,-0.135984,-0.108543,-0.0192275,-0.0191727,0.197011
Q8WUQ7,CATIN,-0.0338836,0.0503163,-0.0860736,0.0131459,0.112871
P82914,RT15,-0.37628,-0.400395,0.0240636,-0.00636506,-0.231852
Q9Y2Y6,TMM98,0.00882602,0.487229,0.521344,0.606435,0.385903
A6NIH7,U119B,0.697481,0.893149,0.61626,0.536436,0.618001
Q9P258,RCC2,0.199047,0.562453,0.23204,0.240308,0.691089
A0A994J7P9,A0A994J7P9,-0.0524611,-0.235467,-0.109929,-0.144166,-0.218843
A0A8V8TMQ1,A0A8V8TMQ1,0.0270669,-0.155245,-0.0147719,-0.0131218,-0.109502
H7C4S4,H7C4S4,0.0810254,0.553617,0.575875,0.50778,0.734979
Q06787-7,FMR1,0.0910826,-0.158034,0.0396206,-0.0507679,-0.217677
P51114-2,FXR1,-0.0610683,-0.210366,-0.13077,-0.151704,-0.351786
Q06787-9,FMR1,-0.259358,-0.510829,-0.475387,-0.241096,-0.594272
A0A3B3ISV4,A0A3B3ISV4,0.488626,0.857865,0.526403,0.507305,-0.0596404
Q13671,RIN1,1.05612,0.982359,0.636968,0.523811,1.04755
P30044,PRDX5,-0.23682,-0.0747681,0.109089,-0.0337749,-0.0674801
Q96L91,EP400,-0.375919,-0.439175,-0.365973,-0.316873,-0.415957
Q6ZTU2-6,E400N,0.677732,-0.139282,0.317973,1.08892,-0.0572231
P52701,MSH6,0.00469375,0.465703,0.0982461,0.159208,0.523943
Q8WWH5,TRUB1,-0.211097,-0.0432153,-0.19771,-0.0747197,-0.0507884
