Uniprot_ID,Gene Symbol,C: 0hr_x-y_4hr,C: 0hr_x-y_24hr,T: Protein Id
D3ZIX4,H1f10,-0.936281,-0.983037,tr|D3ZIX4|D3ZIX4_RAT
Q5U2U0,Clpx,-0.470029,-0.781683,sp|Q5U2U0|CLPX_RAT
Q4KLM5,Abt1,-0.420856,-0.224,sp|Q4KLM5|ABT1_RAT
Q32PZ3,Unc45a,0.171571,0.283829,sp|Q32PZ3|UN45A_RAT
D3ZAS9,Ddrgk1,-0.593653,0.147461,tr|D3ZAS9|D3ZAS9_RAT
A0A8I6G8D1,Trim56,-0.437111,-0.849661,tr|A0A8I6G8D1|A0A8I6G8D1_RAT
A0A0G2JU09,Ep400,-0.568842,-0.894669,tr|A0A0G2JU09|A0A0G2JU09_RAT
A0A8I6AKG2,Samd1,-0.405844,-0.455923,tr|A0A8I6AKG2|A0A8I6AKG2_RAT
Q5I0K8,Mrps7,-0.59296,-1.03209,sp|Q5I0K8|RT07_RAT
F1M6V8,Strn4,0.513314,0.499033,tr|F1M6V8|F1M6V8_RAT
P70483,Strn,0.0810263,0.125163,sp|P70483|STRN_RAT
P58405,Strn3,0.443073,0.401637,sp|P58405|STRN3_RAT
D3ZU86,Cers4,-0.684702,-0.00971699,tr|D3ZU86|D3ZU86_RAT
D3ZDP9,Zbtb11,-0.534084,-0.62737,tr|D3ZDP9|D3ZDP9_RAT
D3ZUL1,Ccdc124,0.224032,0.844584,tr|D3ZUL1|D3ZUL1_RAT
D3ZBP4,Mical1,0.0847552,0.0187206,sp|D3ZBP4|MICA1_RAT
Q9JMD2,Sfmbt1,-0.282994,-0.367874,sp|Q9JMD2|SMBT1_RAT
Q62814,E2f5,0.816108,0.917526,sp|Q62814|E2F5_RAT
Q3ZAV8,Edc4,-0.351311,-0.514121,sp|Q3ZAV8|EDC4_RAT
O54747,Pold1,0.298738,0.239984,sp|O54747|DPOD1_RAT
A0A8I6ANY1,Ascc2,-0.315813,-0.430457,tr|A0A8I6ANY1|A0A8I6ANY1_RAT
A0A8I5ZU98,Osbpl5,-0.57506,-0.646815,tr|A0A8I5ZU98|A0A8I5ZU98_RAT
P43138,Apex1,0.44695,1.3738,sp|P43138|APEX1_RAT
Q9WVR3,Inppl1,0.696235,0.492073,sp|Q9WVR3|SHIP2_RAT
A0A8I5Y7L4,Top2b,-0.568326,-0.758824,tr|A0A8I5Y7L4|A0A8I5Y7L4_RAT
P20650,Ppm1a,0.0696096,-0.254213,sp|P20650|PPM1A_RAT
P41516,Top2a,-0.590324,-0.832327,sp|P41516|TOP2A_RAT
P35815,Ppm1b,0.366202,0.235512,sp|P35815|PPM1B_RAT
D4A1Y5,Mthfd2,-0.0609696,-0.155957,tr|D4A1Y5|D4A1Y5_RAT
D3ZUA0,Mthfd2l,0.0603144,-0.216397,sp|D3ZUA0|MTD2L_RAT
P14408,Fh,-0.102972,-0.403228,sp|P14408|FUMH_RAT
A0A0G2JVD3,Arid1b,-0.335239,-0.33269,tr|A0A0G2JVD3|A0A0G2JVD3_RAT
F1M853,Rrbp1,-0.629952,0.219532,tr|F1M853|F1M853_RAT
Q5XIE3,Mrpl11,-0.178989,-0.336762,sp|Q5XIE3|RM11_RAT
A0A0G2JVL6,Ndufa8,-0.352244,0.182678,tr|A0A0G2JVL6|A0A0G2JVL6_RAT
F1M1W4,Ndfip2,0.245831,0.243456,tr|F1M1W4|F1M1W4_RAT
O35814,Stip1,0.831272,1.83785,sp|O35814|STIP1_RAT
A0A8I5ZXW9,Kcnq5,-0.628923,-0.503264,tr|A0A8I5ZXW9|A0A8I5ZXW9_RAT
A0A8J8XIU8,Rbm39,-0.0949411,-0.177463,tr|A0A8J8XIU8|A0A8J8XIU8_RAT
Q5PQJ6,Pycr3,0.975605,1.5059,sp|Q5PQJ6|P5CR3_RAT
A0A8I6GCK4,Zfp827,0.00299501,0.453944,tr|A0A8I6GCK4|A0A8I6GCK4_RAT
G3V656,Mepce,-0.466311,-0.60657,tr|G3V656|G3V656_RAT
P41777,Nolc1,0.154268,0.576827,sp|P41777|NOLC1_RAT
Q68FR6,Eef1g,0.676397,0.952489,sp|Q68FR6|EF1G_RAT
Q66HF9,Lrrfip1,0.687942,1.07743,sp|Q66HF9|LRRF1_RAT
Q4V7E8,Lrrfip2,0.27945,0.554212,sp|Q4V7E8|LRRF2_RAT
A0A0G2K4T5,Smc5,-0.284571,-0.461893,tr|A0A0G2K4T5|A0A0G2K4T5_RAT
D4ABD7,Trip11,0.865263,0.978299,tr|D4ABD7|D4ABD7_RAT
Q9JLT0,Myh10,-0.155218,-0.363315,sp|Q9JLT0|MYH10_RAT
Q62812,Myh9,-0.151225,-0.0240002,sp|Q62812|MYH9_RAT
P12847,Myh3,-0.38441,-0.939311,sp|P12847|MYH3_RAT
Q29RW1,Myh4,-0.359385,-0.738667,sp|Q29RW1|MYH4_RAT
P04462,Myh8,-0.384925,-0.82125,sp|P04462|MYH8_RAT
A0A8I6A9R8,Cope,0.758802,0.73606,tr|A0A8I6A9R8|A0A8I6A9R8_RAT
D4A9P0,Kif7,0.4017,0.254596,tr|D4A9P0|D4A9P0_RAT
Q9JKC9,Synrg,0.318327,0.429147,sp|Q9JKC9|SYNRG_RAT
D3ZUD5,Ofd1,-0.367405,-0.548128,tr|D3ZUD5|D3ZUD5_RAT
A0A0G2JUA5,Ahnak,0.41714,1.70347,tr|A0A0G2JUA5|A0A0G2JUA5_RAT
A0A0G2JY53,Myh15,0.0380516,0.704652,tr|A0A0G2JY53|A0A0G2JY53_RAT
Q6AXU3,Isg20l2,-0.73854,-0.545016,sp|Q6AXU3|I20L2_RAT
G3V6A8,Golgb1,-0.644594,-0.31175,tr|G3V6A8|G3V6A8_RAT
D3ZFD0,Myo18a,0.0213752,-0.0699852,sp|D3ZFD0|MY18A_RAT
A0A8I6AG98,Plekhg4,-0.405549,-0.580306,tr|A0A8I6AG98|A0A8I6AG98_RAT
A0A096MK24,Morc4,-0.374506,-0.525137,tr|A0A096MK24|A0A096MK24_RAT
A0A1B0GWM3,Lama3,-0.149538,-0.442322,tr|A0A1B0GWM3|A0A1B0GWM3_RAT
D3ZCG2,Kif21a,-0.148357,-0.231417,tr|D3ZCG2|D3ZCG2_RAT
D3Z8W5,Ube2l3,0.405771,1.021,tr|D3Z8W5|D3Z8W5_RAT
A0A8I5ZZ05,Mtcl2,0.105748,-0.561823,tr|A0A8I5ZZ05|A0A8I5ZZ05_RAT
A0A8I6AVZ7,Mtcl1,-0.544571,-0.649393,tr|A0A8I6AVZ7|A0A8I6AVZ7_RAT
F1M5N7,Kif21b,-0.0695777,0.196837,sp|F1M5N7|KI21B_RAT
D3ZAS8,Sart3,0.0223932,-0.0253913,tr|D3ZAS8|D3ZAS8_RAT
B5DFE0,Pals2,0.30508,0.30196,tr|B5DFE0|B5DFE0_RAT
Q5XIW8,Sart1,-0.149784,-0.0149686,sp|Q5XIW8|SNUT1_RAT
P85125,Cavin1,-0.100105,-0.013773,sp|P85125|CAVN1_RAT
P27653,Mthfd1,0.254711,0.293422,sp|P27653|C1TC_RAT
A0A8I5ZV67,Eea1,1.00904,1.70242,tr|A0A8I5ZV67|A0A8I5ZV67_RAT
Q925G1,Hdgfl2,0.211275,0.654425,sp|Q925G1|HDGR2_RAT
F1LTU5,Zc3h6,0.49222,1.72383,tr|F1LTU5|F1LTU5_RAT
F7F149,Surf6,-0.404546,-0.162256,tr|F7F149|F7F149_RAT
A0A8I6ADT5,Ndufs3,-0.192804,-0.543436,tr|A0A8I6ADT5|A0A8I6ADT5_RAT
Q8VIJ5,Oga,0.388295,0.45679,sp|Q8VIJ5|OGA_RAT
D4AAU5,Rassf8,-0.278906,-0.42,tr|D4AAU5|D4AAU5_RAT
Q6XUX2,Dstyk,-0.162099,-0.307939,sp|Q6XUX2|DUSTY_RAT
