Uniprot Id	Gene Symbol	C: 4_x-y_0	C: 6_x-y_0	C: 8_x-y_0	C: 24_x-y_0
Q9CPN9	2210010C04Rik	-1.90345	-1.97413	-1.38198	-0.69268
G3X8U3	2210016F16Rik	-0.304574	-0.135524	0.0903056	1.28987
G5E8E3	2310022A10Rik	-0.150811	-0.305766	0.029592	1.8862
A0A087WQ28	2410004B18Rik	0.0980332	0.213027	0.323687	2.35735
Q0VAW6	8030462N17Rik	-0.0682719	0.142988	0.355432	2.05786
Q5SVP0	9930111J21Rik1	-0.349192	-0.210516	-0.117924	0.776234
Q6GQT1	A2m	0.357175	0.635422	0.668217	1.46958
Q3UTB2	A630001G21Rik	0.0722923	0.462748	0.752535	3.01367
P58742	Aaas	-0.207603	-0.0992744	0.0834515	1.87298
Q9D2R0	Aacs	0.0745361	0.455793	0.793178	3.51927
Q8R2R3	Aagab	-0.153494	0.0634322	0.326017	2.36781
A0A571BDM4	Aak1	-0.00512695	0.408446	0.429789	0.898223
A0A571BEI2	Aak1	-0.323647	-0.214865	-0.171255	0.500114
Q3UHJ0	Aak1	-0.228879	-0.182087	-0.0246634	0.598012
Q8R0P4	Aamdc	-0.519122	-0.0104637	-0.183198	0.398306
J3QN89	Aamp	0.0679531	0.580264	1.00655	3.15223
Q9D2V5	Aar2	-0.0283663	0.114154	0.490032	2.77122
Q8BGQ7	Aars1	-0.166568	0.140711	0.618211	3.41425
Q14CH7	Aars2	-0.267054	-0.290189	0.201129	2.68261
Q3THG9	Aarsd1	-0.435525	-0.27346	0.0985577	2.89316
Q9CQF6	Aasdhppt	-0.0922549	0.229371	0.550757	2.76227
Q9JKX4	Aatf	-0.0549161	-0.076966	0.360094	2.32273
Q91V24	Abca7	-0.134113	-0.178388	0.0323505	0.91112
Q9JI39	Abcb10	-0.526958	-0.806212	-0.102745	1.39031
P21447	Abcb1a	0.00767756	0.0145063	0.131762	0.539467
P06795	Abcb1b	0.0187442	0.0935464	0.637517	3.64165
Q61102	Abcb7	-0.206391	-0.255437	-0.0183167	1.61834
Q9CXJ4	Abcb8	-0.309941	-0.403261	0.00266671	1.82153
O35379	Abcc1	0.0814178	0.399433	0.568929	2.55185
E9Q236	Abcc4	-0.110399	0.00916409	0.284167	2.23918
Q9R1X5	Abcc5	0.168871	0.0391235	0.226537	1.92204
P48410	Abcd1	-0.238845	-0.303147	-0.0989575	0.583139
P55096	Abcd3	-0.263002	-0.255214	0.070883	2.28902
O89016	Abcd4	-0.407664	-0.676428	0.0695634	1.28323
P61222	Abce1	-0.121844	0.129361	0.489156	2.64754
Q6P542	Abcf1	-0.185161	-0.0196428	0.29553	2.37817
Q99LE6	Abcf2	0.135112	0.544401	1.01489	3.7187
Q8K268	Abcf3	-0.155446	0.0882118	0.375736	2.42491
Q7TMS5	Abcg2	-0.202151	-0.10125	-0.255394	2.53651
Q99P81	Abcg3	-0.317065	-0.440611	-0.194082	0.159346
Q6PE15	Abhd10	-0.256078	-0.246161	-0.0119395	1.24717
Q8K4F5	Abhd11	-0.121241	-0.038141	0.0921896	1.52727
Q99LR1	Abhd12	-0.317986	-0.460394	-0.0947163	1.11232
Q80UX8	Abhd13	0.0812812	0.043509	0.371835	2.02949
Q8VCR7	Abhd14b	-0.517407	-0.324381	-0.0962443	0.462917
Q9Z1Q2	Abhd16a	-0.194456	-0.184337	0.00525379	1.00069
Q7M759	Abhd17b	-0.122349	-0.072603	0.225617	1.71304
Q8R2Y0	Abhd6	-0.190511	-0.250983	0.0714593	1.48789
Q8CBW3-4	Abi1	-0.228079	-0.0593474	0.0831559	1.23923
P62484	Abi2	-0.306994	-0.0123138	0.0530646	1.3599
Q8BYZ1	Abi3	-0.336575	-0.177477	-0.140391	0.365296
Q80ZQ9	Abitram	-0.261273	0.0564494	0.104481	2.14533
P00520	Abl1	-0.136294	-0.0627604	0.00070262	1.11604
Q4JIM5	Abl2	-0.264462	-0.238074	0.246016	1.87898
Q8K4G5	Ablim1	-0.264778	-0.20939	-0.115639	0.746687
Q5SSL4	Abr	-0.258857	-0.25402	-0.130975	0.206431
Q4KML4	Abracl	-0.500929	-0.886894	-0.199759	0.998452
Q8BPZ8	Abraxas1	-0.194632	-0.316041	-0.0627613	0.807081
Q3TCJ1	Abraxas2	-0.213946	-0.0712838	0.0501361	1.19247
Q9QYL7	Abt1	-0.0285308	0.0290768	0.529865	2.79083
Q7TQI7	Abtb2	-0.150903	0.206922	0.437961	1.77383
Q921H8	Acaa1a	-0.235111	-0.304804	-0.0753591	1.07177
Q8BWT1	Acaa2	-0.304142	-0.292119	-0.152286	0.317389
Q5SWU9	Acaca	-0.194583	0.093889	0.642702	3.57969
Q8K370	Acad10	-0.265512	-0.37023	-0.1754	0.28457
