Uniprot_ID	KEGG_Gene_ID	BRENDA	Complex Portal	EMBL	EcoGene	Ensembl_Transcript	Ensembl_Protein	Ensembl_Gene	Entrez Gene	Enzyme Nomenclature	GenBank	HGNC	HGNC Accession number	HomoloGene	InterPro	KEGG Genes	NCBI Protein	Pfam	Reactome	RefSeq	Rfam	Uniprot-TrEMBL	WikiPathways	Wikidata	miRBase Sequence	miRBase mature sequence	pato
A0A087WZ06	NA			AC016877,AP002087,AP003355,AP003438,AP003467,AP003551		ENST00000617590.1	ENSP00000482260.1	ENSG00000104375.17	6788			HGNC:11406	11406		IPR000719,IPR011009,IPR011524,IPR017441,IPR024205,IPR036674,IPR049568,IPR050629			PF00069,PF11629		NP_001243242.1							
A0A087WZT3	NA			AC133555		ENST00000380596.10	ENSP00000482868.3	ENSG00000261740.7				HGNC:53563	53563														
A0A087X0I6	NA			AC096640,AL592406		ENST00000611084.4	ENSP00000483424.1	ENSG00000116141.17	4139			HGNC:6896	6896		IPR000719,IPR001772,IPR008271,IPR011009,IPR015940,IPR017441,IPR028375,IPR049508			PF00069,PF00627,PF02149		NP_001273053.1							
A0A087X0K9	NA			AC022613,AC087455,CH471205,KF511213		ENST00000614355.5	ENSP00000483470.2	ENSG00000104067.17	7082			HGNC:11827	11827		IPR000906,IPR001452,IPR001478,IPR005417,IPR005418,IPR008144,IPR008145,IPR027417,IPR035597,IPR036028,IPR036034			PF00595,PF00625,PF00791,PF07653		NP_001317168.1							
A0A087X1C5	hsa:1564			AC254562,AY220845					1564			HGNC:2624	2624		IPR001128,IPR002401,IPR008069,IPR017972,IPR036396,IPR050182	hsa:1564		PF00067		NP_001335315.1							
A0A087X296	NA			AL162424,AL359636		ENST00000619306.5	ENSP00000483540.2	ENSG00000095303.17	5742			HGNC:9604	9604		IPR000742,IPR010255,IPR019791,IPR037120,IPR050783			PF03098		NP_001258093.1							
A0A0A0MR05	NA			AC009065		ENST00000301724.14	ENSP00000301724.10	ENSG00000167965.18				HGNC:24825	24825		IPR001680,IPR015943,IPR019775,IPR036322,IPR037588			PF00400									
A0A0A0MR25	NA			AC009988,KF455288		ENST00000351936	ENSP00000309878	ENSG00000066468				HGNC:3689	3689		IPR000719,IPR001245,IPR003598,IPR003599,IPR007110,IPR008266,IPR011009,IPR013098,IPR013783,IPR016248,IPR017441,IPR020635,IPR036179,IPR050122			PF07679,PF07714,PF13927									
A0A0A0MRG2	NA			AP001442,AP001443,KF457122,KF457123,KF457130,KF510514		ENST00000359726.7	ENSP00000352760.4	ENSG00000142192.22	351			HGNC:620	620		IPR008154,IPR008155,IPR011178,IPR011993,IPR013803,IPR015849,IPR019543,IPR019744,IPR019745,IPR024329,IPR036176,IPR036454,IPR036669,IPR037071			PF02177,PF03494,PF10515,PF12924,PF12925		NP_001129603.1							
A0A0A0MRJ0	NA			AL353689,AL451047,AL627308		ENST00000366764.8	ENSP00000355726.5	ENSG00000143776.20	8476			HGNC:1737	1737		IPR000095,IPR000719,IPR000961,IPR001180,IPR001849,IPR002219,IPR008271,IPR011009,IPR011993,IPR014930,IPR017441,IPR017892,IPR026611,IPR031597,IPR046349,IPR050839,IPR057529			PF00069,PF00130,PF00433,PF00780,PF08826,PF15796,PF25346		NP_001352940.1							
A0A0A0MRJ1	NA			AL353689,AL451047,AL627308		ENST00000366766	ENSP00000355728	ENSG00000143776	8476			HGNC:1737	1737		IPR000095,IPR000719,IPR000961,IPR001180,IPR001849,IPR002219,IPR008271,IPR011009,IPR011993,IPR014930,IPR017441,IPR017892,IPR026611,IPR031597,IPR046349,IPR050839,IPR057529			PF00069,PF00130,PF00433,PF00780,PF08826,PF15796,PF25346		NP_001374479.1,XP_011542608.1							
A0A0A0MSN4	NA			AC113554		ENST00000428043.5	ENSP00000397593.2	ENSG00000159640.17				HGNC:2707	2707		IPR001548			PF01401									
A0A0A6YYC0	NA			AP003774		ENST00000530504.1	ENSP00000432945.1	ENSG00000162302.13				HGNC:10433	10433		IPR000719,IPR000961,IPR008271,IPR011009,IPR016239,IPR017441,IPR017892,IPR037714			PF00069,PF00433									
A0A0B4J1S7	NA			AL137856		ENST00000359785.10	ENSP00000352833.5	ENSG00000134242.16				HGNC:9652	9652		IPR000242,IPR000387,IPR003595,IPR016130,IPR016276,IPR029021,IPR047170,IPR047253			PF00102									
A0A0B4J2F0	hsa:101928527			AB593170,AC018926		ENST00000436697.3,ENST00000567948.1	ENSP00000482636.1,ENSP00000484893.1	ENSG00000225973.4	101928527			HGNC:50696	50696			hsa:101928527		PF23670		NP_001295350.1,NP_001295351.1,NP_001295352.1,XP_047288035.1							
A0A0C3SFZ9	NA			AC008761,CH471106,KF456522		ENST00000594202.6	ENSP00000473001.1	ENSG00000130475.16	23149			HGNC:29002	29002		IPR001060,IPR018808,IPR027267,IPR028565,IPR031160,IPR042735,IPR054713			PF10291,PF22699		NP_001154829.1							
A0A0C4DGF1	NA			AC002314,AD000671		ENST00000481182.1	ENSP00000433657.1	ENSG00000011590.14	27033			HGNC:16763	16763		IPR000210,IPR011333,IPR050457			PF00651		XP_054176510.1							
A0A0C5B5G6	NA			J01415,KP715230								HGNC:7470	7470		IPR054130			PF21945									
A0A0K2S4Q6	hsa:100130520			AC079325,LC013475,LC013476		ENST00000641031.1,ENST00000641710.1,ENST00000709217.2,ENST00000709218.1	ENSP00000492977.1,ENSP00000492997.1,ENSP00000517560.1,ENSP00000517561.1	ENSG00000284690.3,ENSG00000291925.2	100130520			HGNC:52292	52292		IPR003599,IPR007110,IPR013106,IPR013783,IPR036179,IPR050671	hsa:100130520		PF07686		NP_001311002.1,NP_001311005.1							
A0A0S2Z3T4	NA			AC087623,CH471080,KU178070		ENST00000684654.1	ENSP00000507205.1	ENSG00000077782.23	2260			HGNC:3688	3688		IPR000719,IPR001245,IPR003598,IPR003599,IPR007110,IPR008266,IPR011009,IPR013098,IPR013783,IPR016248,IPR017441,IPR020635,IPR028174,IPR036179,IPR050122			PF07679,PF07714		NP_001341297.1,XP_016868717.1							
A0A0S2Z4L5	NA			AC018500,AC026170,KU178299		ENST00000685437.1,ENST00000688543.1,ENST00000692093.1	ENSP00000508794.1,ENSP00000509612.1,ENSP00000509669.1	ENSG00000132155.14	5894			HGNC:9829	9829		IPR000719,IPR002219,IPR003116,IPR008271,IPR011009,IPR017441,IPR020454,IPR029071,IPR046349,IPR051681			PF00069,PF00130,PF02196		NP_001341622.1,XP_005265414.1,XP_016862455.1,XP_047304607.1,XP_054203392.1,XP_054203393.1							
A0A0U1RQF0	NA			AC135056		ENST00000634990.1	ENSP00000488964.1	ENSG00000169710.9				HGNC:3594	3594		IPR001031,IPR001227,IPR006162,IPR009081,IPR011032,IPR013149,IPR013217,IPR013968,IPR014030,IPR014031,IPR014043,IPR016035,IPR016036,IPR016039,IPR018201,IPR020806,IPR020807,IPR020841,IPR020843,IPR029058,IPR029063,IPR032821,IPR036291,IPR036736,IPR042104,IPR049391,IPR049552,IPR049900,IPR050091,IPR057326			PF00107,PF00109,PF00550,PF00698,PF00975,PF02801,PF08242,PF08659,PF16197,PF21089,PF21149									
A0A0U1RQT7	NA			AC087632,AC100840,AC110054,KF456070,KF456071		ENST00000635142.1	ENSP00000489165.1	ENSG00000169118.18				HGNC:2454	2454		IPR000719,IPR008271,IPR011009,IPR017441,IPR022247,IPR050235			PF00069,PF12605									
A0A0U1RQV4	NA			AC022795,AC036178		ENST00000635540.2	ENSP00000489185.1	ENSG00000067900.9				HGNC:10251	10251		IPR000719,IPR000961,IPR008271,IPR011009,IPR011072,IPR015008,IPR017441,IPR037310,IPR050839			PF00069,PF08912									
