Uniprot_ID	KEGG_Gene_ID
A0A087WZ06	NA
A0A087WZT3	NA
A0A087X0I6	NA
A0A087X0K9	NA
A0A087X1C5	hsa:1564
A0A087X296	NA
A0A0A0MR05	NA
A0A0A0MR25	NA
A0A0A0MRG2	NA
A0A0A0MRJ0	NA
A0A0A0MRJ1	NA
A0A0A0MSN4	NA
A0A0A6YYC0	NA
A0A0B4J1S7	NA
A0A0B4J2F0	hsa:101928527
A0A0C3SFZ9	NA
A0A0C4DGF1	NA
A0A0C5B5G6	NA
A0A0K2S4Q6	hsa:100130520
A0A0S2Z3T4	NA
A0A0S2Z4L5	NA
A0A0U1RQF0	NA
A0A0U1RQT7	NA
A0A0U1RQV4	NA
A0A0U1RRE5	hsa:550643
A0A0U2N547	NA
A0A1B0GTB8	NA
A0A1B0GTW7	NA
A0A1B0GV75	NA
A0A1B0GVF3	NA
A0A1B0GWC0	NA
A0A1B0GWI1	NA
A0A2R8Y4I8	NA
A0A2R8Y8E0	NA
A0A2R8YDP5	NA
A0A2U3TZI2	NA
A0A2U3TZR0	NA
A0A3B3IRX2	NA
A0A3B3IRY8	NA
A0A3B3IS53	NA
A0A3B3IS73	NA
A0A3B3ISD1	NA
A0A3B3ISD5	NA
A0A3B3ISF5	NA
A0A3B3ISI1	NA
A0A3B3ISW3	NA
A0A3B3ISY9	NA
A0A3B3ISZ0	NA
A0A3B3IT19	NA
A0A3B3IT63	NA
A0A3B3ITA4	NA
A0A3B3ITD0	NA
A0A3B3ITI0	NA
A0A3B3ITI3	NA
A0A3B3IU93	NA
A0A3B3IUA4	NA
A0A3F2YNX6	NA
A0A499FJK2	hsa:7040
A0A5F9ZH41	NA
A0A5F9ZHU3	NA
A0A5K1VW74	NA
A0A5S6RJB7	NA
A0A669KB12	NA
A0A6I8PRU0	NA
A0A6Q8PF08	NA
A0A6Q8PFY6	NA
A0A6Q8PHB5	NA
A0A6Q8PHP0	NA
A0A7I2PJA1	NA
A0A7I2R3P8	NA
A0A7I2RW32	NA
A0A7I2SVS4	NA
A0A7P0T828	NA
A0A8C8L3F5	NA
A0A8I5KW96	NA
A0A8I5KXN4	NA
A0A8I5KYB4	NA
A0A8I5KZ76	NA
A0A8I5KZC4	NA
A0A8I5QJ96	NA
A0A8I5QJL1	NA
A0A8I5QJV9	NA
A0A8Q3SHM6	NA
A0A8V8TPK6	NA
A0A8V8TQ23	NA
A0A8V8TQL1	NA
A0A8V8TQX2	NA
A0A8V8TRF3	NA
A0AAG2UV77	NA
A0AAQ5BGQ0	NA
A0AAQ5BH13	NA
A0AV02	hsa:84561
A0AV96	hsa:54502
A0AVF1	hsa:79989
A0AVG3	NA
A0AVI4	hsa:92305
A0AVK6	hsa:79733
A0AVT1	hsa:55236
A0FGR8	hsa:57488
A0FGR9	hsa:83850
A0JLT2	hsa:219541
A0JNW5	hsa:23074
A0JP26	hsa:102724631
A0M8Q6	NA
A0MZ66	hsa:57698
A0PJK1	hsa:125206
A0PJY2	hsa:389549
A0PK00	hsa:144404
A0PK11	hsa:645104
A1A4S6	hsa:79658
A1A4Y4	hsa:345611
A1A519	hsa:340069
A1A5B4	hsa:338440
A1A5C7	hsa:63027
A1E959	hsa:54959
A1KXE4	hsa:130074
A1KZ92	hsa:137902
A1L0T0	hsa:10994
A1L167	hsa:134111
A1L190	hsa:644186
A1L390	hsa:26030
A1L3X0	hsa:79993
A1L4H1	hsa:284297
A1L4K1	hsa:123722
A1X283	hsa:285590
A1XBS5	hsa:137392
A1Z1Q3	hsa:140733
A2A288	hsa:340152
A2A2Y4	hsa:257019
A2IDD5	hsa:124093
A2PYH4	hsa:164045
A2RRP1	hsa:51594
A2RTX5	hsa:123283
A2RU14	hsa:219854
A2RU30	hsa:9840
A2RU49	hsa:123688
A2RUB1	hsa:284071
A2RUB6	hsa:285331
A2RUC4	hsa:129450
A2RUH7	hsa:343263
A2VDJ0	hsa:23240
A2VEC9	NA
A3KFJ0	NA
A3KFJ1	NA
A3KMH1	hsa:23078
A4D0S4	hsa:22798
A4D126	hsa:729920
A4D161	hsa:340277
A4D1B5	hsa:54103
A4D1E9	hsa:85865
A4D1P6	hsa:29062
A4D1T9	hsa:136242
A4D256	NA
A4D2B0	hsa:255374
A4D2B8	NA
A4F3V8	NA
A4GXA9	hsa:197342
A4UGR9	hsa:129446
A5A3E0	hsa:728378
A5D8T8	hsa:348174
A5D8V6	hsa:55048
A5D8V7	hsa:115948
A5D8W1	hsa:79846
A5LHX3	hsa:122706
A5PKW4	hsa:5662
A5PLL3	NA
A5PLL7	hsa:387522
A5X5Y0	hsa:285242
A5YKK6	hsa:23019
A5YM72	hsa:57571
A6BM72	hsa:84465
A6H8Y1	hsa:55814
A6H8Z2	hsa:392307
A6NC98	hsa:283234
A6NCS4	hsa:137814
A6ND01	hsa:390243
A6ND36	hsa:644815
A6NDB9	hsa:342979
A6NDE4	hsa:378948
A6NDG6	hsa:283871
A6NDV4	hsa:51754
A6NED2	hsa:91433
A6NEM1	hsa:440295
A6NFA1	hsa:388630
A6NFQ2	hsa:285966
A6NFX1	hsa:388931
A6NFY7	hsa:644096
A6NGG8	hsa:388939
A6NGQ2	hsa:441161
A6NGQ3	NA
A6NGU5	NA
A6NHL2	hsa:79861
A6NHQ2	NA
A6NHR9	hsa:23347
A6NHX0	hsa:729438
A6NI15	hsa:343930
A6NI61	hsa:389827
A6NI73	hsa:353514
A6NIH7	hsa:84747
A6NIX2	hsa:126374
A6NJ46	hsa:157848
A6NJ78	hsa:196074
A6NK06	hsa:730249
A6NK58	hsa:387787
A6NK89	hsa:644943
A6NKB5	hsa:80003
A6NKF2	hsa:138715
A6NMZ7	hsa:131873
A6NNB3	hsa:387733
A6NNM8	NA
A6NNN8	hsa:146167
A6NNY8	hsa:389856
A6NNZ2	NA
A6PVC2	NA
A7E2V4	hsa:23053
A7E2Y1	hsa:57644
A7KAX9	hsa:9743
A7MCY6	hsa:9755
A7MD48	hsa:84530
A7XYQ1	hsa:55084
A8CG34	NA
A8K0Z3	hsa:100287171
A8K2U0	hsa:144568
A8K4G0	hsa:124599
A8K7I4	hsa:1179
A8K830	hsa:120376
A8K8P3	hsa:9814
A8K8V0	hsa:146540
A8MPY1	hsa:200959
A8MQ03	hsa:375791
A8MQ27	hsa:54492
A8MT69	hsa:201254
A8MTA8	hsa:730112
A8MTJ3	hsa:346562
A8MTJ6	hsa:344167
A8MTQ0	hsa:344022
A8MTZ0	hsa:92482
A8MU46	hsa:219537
A8MUP2	hsa:751071
A8MV65	hsa:389136
A8MVW5	hsa:253012
A8MW92	hsa:51105
A8MW95	hsa:441925
A8MW99	hsa:101928601
A8MXD5	hsa:389207
A8MXV4	hsa:390916
A8MYU2	hsa:157855
A8MZ59	hsa:342900
A8TX70	hsa:256076
A9QM74	hsa:402569
A9UHW6	hsa:57409
A9YTQ3	NA
B0I1T2	hsa:64005
B0L3A2	NA
B0YJ81	hsa:9200
B1AK53	hsa:83715
B1APE1	NA
B1APE2	NA
B2RTY4	hsa:4649
B2RUY7	hsa:402117
B2RUZ4	hsa:388588
B2RXF5	hsa:100128927
B2RXH2	hsa:390245
B3KU38	hsa:100505385
B4DE54	NA
B4DG22	NA
B4DY26	NA
B4E1Q4	NA
B6A8C7	hsa:441864
B7U540	hsa:100134444
B7ZAQ6	hsa:653519
B7ZB17	NA
C4AMC7	NA
C9J5X1	NA
C9J6S5	NA
C9JE40	hsa:197135
C9JIG9	NA
C9JLW8	hsa:348262
C9JR72	hsa:390594
C9JRZ8	hsa:441282
C9JXA2	NA
D2CGD1	NA
D3W0D1	hsa:100431172
D3YTC7	NA
D6RGH6	hsa:345643
E0CX11	hsa:647087
E7EMT5	NA
E7ETY4	NA
E7EU09	NA
E7EUJ1	NA
E7EUK6	NA
E7EVR7	NA
E9PBK7	NA
E9PC15	NA
E9PC47	NA
E9PC69	NA
E9PD35	NA
E9PF63	NA
E9PFV2	NA
E9PG40	NA
E9PGT3	NA
E9PJN1	NA
F2Z2J1	NA
F2Z3J9	NA
F5H094	NA
F5H5A3	NA
F5H5B4	NA
F6X3S4	NA
F8VVT9	hsa:116986
F8W9L4	NA
F8WEZ8	NA
G2XKQ0	NA
G3V4E1	NA
G5E9A7	NA
G8JL96	NA
H0Y4E8	NA
H0YL14	hsa:90120
H0YLN8	NA
H0YLY0	NA
H3BV60	hsa:100507588
H7BXU9	NA
H7BXZ5	NA
H7BYX7	NA
H7C012	NA
H7C0D0	NA
H7C560	NA
J3KPQ0	NA
J3KQ12	NA
J3KSQ5	NA
J3KTD6	NA
J3QLN8	NA
J3QLU9	NA
J3QR41	NA
K7EJ46	hsa:440335
K7EJE8	NA
K7EKE6	NA
K7EN27	NA
K7ER95	NA
K9M1U5	hsa:101180976
L0R8F8	NA
M0QX44	NA
M0QXM4	NA
M0R2J8	hsa:341019
O00115	hsa:1777
O00116	hsa:8540
O00124	hsa:7993
O00139	hsa:3796
O00141	hsa:6446
O00142	hsa:7084
O00144	hsa:8326
O00148	hsa:10212
O00151	hsa:9124
O00154	hsa:11332
O00155	hsa:2848
O00159	hsa:4641
O00160	hsa:4542
O00161	hsa:8773
O00165	hsa:10456
O00167	hsa:2139
O00168	hsa:5348
O00170	hsa:9049
O00175	hsa:6369
O00178	hsa:9567
O00180	hsa:3775
O00182	hsa:3965
O00186	hsa:6814
O00187	hsa:10747
O00189	hsa:9179
O00192	hsa:421
O00194	hsa:5874
O00198	hsa:8739
O00203	hsa:8546
O00204	hsa:6820
O00206	hsa:7099
O00212	hsa:29984
O00213	hsa:322
O00214	hsa:3964
O00217	hsa:4728
O00219	hsa:3038
O00220	hsa:8797
O00221	hsa:4794
O00222	hsa:2918
O00231	hsa:5717
O00232	hsa:5718
O00233	hsa:5715
O00237	hsa:7844
O00238	hsa:658
O00241	NA
O00244	hsa:475
O00253	hsa:181
O00254	hsa:2151
O00255	hsa:4221
O00257	hsa:8535
O00258	hsa:7485
O00264	hsa:10857
O00267	hsa:6829
O00268	hsa:6874
O00270	hsa:2853
O00273	hsa:1676
O00287	hsa:5994
O00291	hsa:3092
O00292	hsa:7044
O00294	hsa:7287
O00299	hsa:1192
O00300	hsa:4982
O00303	hsa:8665
O00305	hsa:785
O00308	hsa:11060
O00311	hsa:8317
O00321	hsa:2116
O00322	hsa:11045
O00327	hsa:406
