Uniprot_ID	KEGG_rno	BRENDA	Complex Portal	EMBL	EcoGene	Ensembl_Transcript	Ensembl_Protein	Ensembl_Gene	Entrez Gene	Enzyme Nomenclature	GenBank	HGNC	HGNC Accession number	HomoloGene	InterPro	KEGG Genes	NCBI Protein	Pfam	Reactome	RefSeq	Rfam	Uniprot-TrEMBL	WikiPathways	Wikidata	miRBase Sequence	miRBase mature sequence	pato
UniProtID	NA																										
A0A096MIT4	NA			AABR07006687											IPR026145,IPR053902			PF15095									
A0A096MIX7	NA								367944						IPR013087,IPR036236,IPR041643,IPR043359,IPR056436			PF00096,PF18366,PF23561		NP_001398746.1							
A0A096MJ06	NA														IPR011990,IPR019734			PF12895,PF13174,PF13181,PF13424									
A0A096MJ39	NA														IPR002159,IPR005428			PF01130									
A0A096MJE9	NA																										
A0A096MJF0	NA																										
A0A096MJH1	NA								306790						IPR001627,IPR002165,IPR007110,IPR013783,IPR015943,IPR016201,IPR027231,IPR036179,IPR036352			PF01403,PF01437		XP_038951578.1,XP_038951579.1,XP_063132420.1,XP_063132421.1							
A0A096MJH5	NA														IPR013087,IPR036236,IPR041643,IPR043359,IPR056436			PF00096,PF18366,PF23561									
A0A096MJN4	NA			AABR07030186					287606						IPR016491,IPR027417,IPR030379			PF00735	R-RNO-111457,R-RNO-111469	NP_001401264.1,XP_017452610.1							
A0A096MJU6	NA								309871						IPR001214,IPR013087,IPR016608,IPR036236,IPR044413,IPR046341,IPR050331			PF00096,PF21549		XP_008771213.1,XP_063135249.1							
A0A096MJY4	NA			AABR07007384					499497						IPR002100,IPR022102,IPR033896,IPR036879			PF00319,PF12347	R-RNO-525793	NP_001386326.1,XP_006224017.1,XP_006224019.1,XP_006231793.1,XP_006231795.1,XP_008758864.1,XP_008773249.1,XP_017446652.1,XP_017449843.1							
A0A096MK47	NA			AABR07070794,AABR07070795,AABR07070796,BC092625											IPR029331			PF15274									
A0A096MK89	NA														IPR000203,IPR000832,IPR003644,IPR005492,IPR006558,IPR009039,IPR013320,IPR017981,IPR026919,IPR038081,IPR046338,IPR057244			PF00002,PF03160,PF03736,PF13385									
A0A096MK92	NA																										
A0A096MKA9	NA								305353						IPR000157,IPR000483,IPR001611,IPR003591,IPR017241,IPR032675,IPR035897			PF01463,PF01582,PF13855		NP_001424145.1,NP_997487.2,XP_006251022.1							
A0A096P6L8	rno:25661								25661						IPR000083,IPR000562,IPR003961,IPR013783,IPR013806,IPR036116,IPR036943,IPR050991	rno:25661		PF00039,PF00040,PF00041		NP_062016.2							
A0A0A0MXU8	NA														IPR001612,IPR018361			PF01146									
A0A0A0MXV4	NA			AABR07030583,AABR07030584											IPR001548			PF01401									
A0A0A0MXW7	NA														IPR000812,IPR013150,IPR013763,IPR023486,IPR036915			PF00382									
A0A0A0MXZ5	rno:306257								306257						IPR001578,IPR036959,IPR038765,IPR041507	rno:306257		PF01088,PF18031		NP_001100762.1							
A0A0G2JSH4	NA								84027						IPR000719,IPR008271,IPR011009,IPR017441,IPR039192,IPR050591			PF00069		XP_006248435.1							
A0A0G2JSI8	NA								24208						IPR000536,IPR001103,IPR001628,IPR013088,IPR035500,IPR050200			PF00104,PF00105,PF02166		NP_036634.2							
A0A0G2JSK5	NA								24511						IPR002369,IPR012896,IPR013111,IPR014836,IPR015812,IPR016201,IPR032695,IPR033760,IPR036349,IPR036465,IPR040622,IPR057073,IPR057243			PF00362,PF07965,PF07974,PF08725,PF17205,PF18372,PF23105		XP_006255886.1,XP_063133853.1							
A0A0G2JSQ2	NA								246248						IPR000960,IPR002257,IPR020946,IPR036188,IPR050346			PF00743		NP_653340.2,XP_038957658.1,XP_063137367.1							
A0A0G2JSQ5	rno:81516								81516						IPR001132,IPR003619,IPR008984,IPR013019,IPR013790,IPR017855,IPR036578	rno:81516		PF03165,PF03166		NP_110485.1							
A0A0G2JSQ6	NA								25671						IPR001132,IPR003619,IPR008984,IPR013019,IPR013790,IPR017855,IPR036578			PF03165,PF03166		XP_006255456.1,XP_006255457.1,XP_006255458.1							
A0A0G2JSR4	NA								25126						IPR000980,IPR001217,IPR008967,IPR012345,IPR013799,IPR013800,IPR013801,IPR015988,IPR035858,IPR035886,IPR036535,IPR036860,IPR046994,IPR048988			PF00017,PF01017,PF02864,PF02865,PF21354		XP_038941184.1							
A0A0G2JSS7	rno:58924								58924						IPR002516	rno:58924		PF01531		NP_113823.1,XP_006229197.1,XP_038944697.1,XP_063128208.1,XP_063128215.1							
A0A0G2JST8	rno:360230								360230						IPR000719,IPR008271,IPR011009,IPR024104,IPR024236	rno:360230		PF00069		NP_898879.2,XP_006238943.1							
A0A0G2JSV4	NA			DQ092632											IPR000536,IPR001628,IPR001723,IPR003070,IPR003073,IPR013088,IPR035500			PF00104,PF00105									
A0A0G2JSY7	rno:24717								24717						IPR000276,IPR000732,IPR001760,IPR017452,IPR019477,IPR027430,IPR050125	rno:24717		PF00001,PF10413		NP_254276.1							
A0A0G2JT64	NA																										
A0A0G2JT82	NA														IPR000747,IPR001356,IPR009057,IPR017970,IPR019549,IPR019737,IPR020479,IPR050720			PF00046,PF10525									
A0A0G2JT93	NA								84353						IPR000225,IPR011989,IPR013284,IPR016024			PF00514		NP_001418585.1,NP_001418591.1,NP_001418592.1,NP_001418593.1,NP_001418594.1,NP_001418595.1,NP_001418596.1,NP_001418597.1,XP_008764913.1,XP_017451425.1,XP_017451426.1,XP_017451428.1,XP_017451429.1							
A0A0G2JTA5	NA								361798						IPR001214,IPR002110,IPR007728,IPR036770,IPR038034,IPR043550,IPR046341,IPR047762			PF00023,PF00856,PF05033,PF12796,PF21533		XP_006256021.1							
A0A0G2JTB3	NA														IPR013087,IPR036236,IPR051497,IPR056438,IPR057448			PF00096,PF23611,PF25491	R-RNO-9933946,R-RNO-9934037								
A0A0G2JTD7	NA														IPR011989,IPR016024,IPR021133,IPR024395,IPR034085,IPR048491			PF12348,PF21040,PF21041									
A0A0G2JTH7	NA														IPR000569,IPR032353,IPR035983,IPR042556,IPR044611			PF00632,PF16558									
A0A0G2JTL2	NA														IPR000719,IPR008271,IPR011009,IPR015940,IPR017090,IPR017441,IPR034672,IPR057380			PF00069,PF23312									
A0A0G2JTL4	NA														IPR000719,IPR001245,IPR001824,IPR003598,IPR003599,IPR007110,IPR008266,IPR011009,IPR013151,IPR013783,IPR017441,IPR020635,IPR027263,IPR036179,IPR050122			PF00047,PF07714									
A0A0G2JTN5	NA														IPR000850,IPR006266,IPR027417,IPR033690			PF00406									
A0A0G2JTR4	rno:287537			AABR07030047,AABR07072152,FQ078152					287537						IPR000008,IPR000198,IPR000219,IPR001331,IPR001849,IPR008936,IPR011993,IPR035892,IPR035899,IPR037769,IPR037865	rno:287537		PF00168,PF00620,PF00621,PF19057	R-RNO-193648,R-RNO-416482,R-RNO-8980692,R-RNO-9013026,R-RNO-9013148,R-RNO-9013149,R-RNO-9013404	NP_001099284.1							
A0A0G2JTT2	NA								89816						IPR008942,IPR011417,IPR013809,IPR014712,IPR045192			PF07651		XP_006229738.1							
A0A0G2JTZ2	rno:293165			AABR07005536,AABR07005537,AABR07005538,AABR07071973,AC128610,BC097403,CH473956					293165						IPR009071,IPR036910,IPR051356	rno:293165		PF00505	R-RNO-3769402	NP_001019922.1,XP_006230149.1,XP_017444458.1							
A0A0G2JU12	NA														IPR001129,IPR001446,IPR023352,IPR050997			PF01124									
A0A0G2JU23	NA														IPR000074,IPR050163			PF01442									
A0A0G2JU91	NA								360801						IPR001005,IPR009057,IPR017884,IPR017930,IPR031557,IPR051571			PF00249,PF15784	R-RNO-2173795,R-RNO-350054,R-RNO-381340,R-RNO-383280,R-RNO-400206,R-RNO-9029569,R-RNO-9623433,R-RNO-9707564,R-RNO-9841922	XP_017453886.1							
A0A0G2JUA7	NA								300955						IPR000980,IPR001452,IPR017304,IPR035564,IPR035565,IPR035882,IPR036028,IPR036860,IPR051184			PF00017,PF00018		XP_038937118.1							
