Uniprot_ID	KEGG_sce	BRENDA	Complex Portal	EMBL	EcoGene	Ensembl_Transcript	Ensembl_Protein	Ensembl_Gene	Entrez Gene	Enzyme Nomenclature	GenBank	HGNC	HGNC Accession number	HomoloGene	InterPro	KEGG Genes	NCBI Protein	Pfam	Reactome	RefSeq	Rfam	Uniprot-TrEMBL	WikiPathways	Wikidata	miRBase Sequence	miRBase mature sequence	pato
UniProtID	NA																										
A0A0B7P3V8	sce:YPL060C-A			BK006949					856047						IPR001584,IPR012337,IPR036397,IPR039537,IPR054722	sce:YPL060C-A		PF00665,PF22936		NP_001291944.1							
D6VTK4	sce:YFL026W			AJ585736,AY693134,BK006940,D50617,M24335,X03010					850518						IPR000366,IPR027458	sce:YFL026W		PF02116		NP_116627.2							
O13297	sce:YPL228W	3.6.1.74	CPX-580	AB008799,BK006949,X94561,Z73583,Z73584					855873						IPR004206,IPR033469,IPR037009,IPR040343	sce:YPL228W		PF02940		NP_015096.1							
O13329	sce:YDR110W			AF013245,BK006938,Z48758					851688							sce:YDR110W				NP_010395.1							
O13516	sce:YPL081W		CPX-1599	BK006949,D00724,U41849					856024						IPR001912,IPR002942,IPR005710,IPR018079,IPR022801,IPR036986	sce:YPL081W		PF00163,PF01479	R-SCE-156827,R-SCE-1799339,R-SCE-6791226,R-SCE-72649,R-SCE-72689,R-SCE-72695,R-SCE-72702,R-SCE-72706,R-SCE-975956,R-SCE-975957	NP_015244.1							
O13527	sce:YAR009C			BK006935,L22015					851268						IPR001584,IPR012337,IPR013103,IPR036397,IPR039537,IPR043502	sce:YAR009C		PF00665,PF07727		NP_009406.1							
O13535	sce:YHR214C-B			BK006934,U00029					856623						IPR001584,IPR001969,IPR012337,IPR013103,IPR015820,IPR036397,IPR039537,IPR043502	sce:YHR214C-B		PF00665,PF01021,PF07727		NP_012086.1							
O13539	sce:YHR167W		CPX-1792,CPX-1793	BK006934,U00027					856572						IPR018557	sce:YHR167W		PF09432		NP_012037.1							
O13547	sce:YLR390W-A			BK006945,U19729					851107						IPR008427	sce:YLR390W-A		PF05730		NP_013495.1							
O13563	sce:YLR421C		CPX-2262	AY558321,BK006945,U20939					851140						IPR006773,IPR038633,IPR044868	sce:YLR421C		PF04683		NP_013525.3							
O14467	sce:YOR298C-A			AB017593,AY260886,AY692753,BK006948,Z75206,Z75207					854474						IPR001387,IPR010982,IPR013729	sce:YOR298C-A		PF01381,PF08523		NP_014942.4							
O60200	sce:YKL053C-A			AY558262,BK006944,Z28052,Z28054					853812						IPR007918	sce:YKL053C-A		PF05254	R-SCE-6803204	NP_012870.1							
O74700	sce:YEL020W-A		CPX-1629,CPX-2268,CPX-2950	AF093244,AY557798,BK006939,U18530					856693						IPR004217,IPR035427,IPR050673	sce:YEL020W-A		PF02953	R-SCE-1268020	NP_010894.1							
O94742	sce:YDR363W-A		CPX-1686,CPX-2262	AF059310,AF065136,AY557719,BK006938,U28372					851967						IPR007834	sce:YDR363W-A		PF05160		NP_010651.3							
P00044	sce:YJR048W			BK006943,L26347,L36344,M37696,V01298,X03472,Z49548					853507						IPR002327,IPR009056,IPR036909	sce:YJR048W		PF00034	R-SCE-111457,R-SCE-3299685,R-SCE-5620971,R-SCE-611105	NP_012582.1							
