Uniprot_ID,Gene_Org,C: 0hr - 1hr,C: 0hr - 4hr,C: 0hr - 12hr,C: 0hr - 24hr,C: 0hr - 72hr,T: GOBP name,T: GOMF name
Q76L83,ASXL2,-0.20209,-0.237947,-0.460919,-0.43243,-0.595481,"adult heart development;anatomical structure development;anatomical structure morphogenesis;biological regulation;biosynthetic process;cellular biosynthetic process;cellular macromolecule biosynthetic process;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;developmental process;embryonic morphogenesis;embryonic organ morphogenesis;embryonic skeletal system morphogenesis;heart development;macromolecule biosynthetic process;macromolecule metabolic process;metabolic process;negative regulation of biological process;negative regulation of biosynthetic process;negative regulation of cellular biosynthetic process;negative regulation of cellular macromolecule biosynthetic process;negative regulation of cellular metabolic process;negative regulation of cellular process;negative regulation of gene expression;negative regulation of macromolecule biosynthetic process;negative regulation of macromolecule metabolic process;negative regulation of metabolic process;negative regulation of nitrogen compound metabolic process;negative regulation of nucleobase-containing compound metabolic process;negative regulation of RNA metabolic process;negative regulation of transcription from RNA polymerase II promoter;negative regulation of transcription, DNA-dependent;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;organ development;organ morphogenesis;positive regulation of biological process;positive regulation of biosynthetic process;positive regulation of cell communication;positive regulation of cell differentiation;positive regulation of cellular biosynthetic process;positive regulation of cellular metabolic process;positive regulation of cellular process;positive regulation of developmental process;positive regulation of fat cell differentiation;positive regulation of gene expression;positive regulation of macromolecule biosynthetic process;positive regulation of macromolecule metabolic process;positive regulation of metabolic process;positive regulation of myeloid cell differentiation;positive regulation of myeloid leukocyte differentiation;positive regulation of nitrogen compound metabolic process;positive regulation of nucleobase-containing compound metabolic process;positive regulation of osteoclast differentiation;positive regulation of peroxisome proliferator activated receptor signaling pathway;positive regulation of response to stimulus;positive regulation of RNA metabolic process;positive regulation of signal transduction;positive regulation of signaling;positive regulation of transcription from RNA polymerase II promoter;positive regulation of transcription, DNA-dependent;primary metabolic process;regulation of biological process;regulation of biosynthetic process;regulation of cell communication;regulation of cell differentiation;regulation of cellular biosynthetic process;regulation of cellular macromolecule biosynthetic process;regulation of cellular metabolic process;regulation of cellular process;regulation of developmental process;regulation of fat cell differentiation;regulation of gene expression;regulation of immune system process;regulation of macromolecule biosynthetic process;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of multicellular organismal development;regulation of multicellular organismal process;regulation of myeloid cell differentiation;regulation of myeloid leukocyte differentiation;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of osteoclast differentiation;regulation of peroxisome proliferator activated receptor signaling pathway;regulation of primary metabolic process;regulation of response to stimulus;regulation of RNA metabolic process;regulation of signal transduction;regulation of signaling;regulation of transcription from RNA polymerase II promoter;regulation of transcription, DNA-dependent;RNA biosynthetic process;RNA metabolic process;skeletal system morphogenesis;transcription, DNA-dependent",binding;cation binding;DNA binding;ion binding;metal ion binding;nucleic acid binding;peroxisome proliferator activated receptor binding;protein binding;receptor binding
O60341,KDM1A,-0.253164,-0.248998,-0.149881,-0.299738,-0.224597,"anatomical structure development;biological regulation;biosynthetic process;blood coagulation;cell development;cell differentiation;cell proliferation;cellular biosynthetic process;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular developmental process;cellular macromolecule biosynthetic process;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cellular protein metabolic process;cellular response to stimulus;chordate embryonic development;chromatin modification;chromatin organization;chromosome organization;coagulation;covalent chromatin modification;demethylation;developmental process;embryo development;embryo development ending in birth or egg hatching;gland development;granulocyte differentiation;hemostasis;histone demethylation;histone H3-K4 demethylation;histone H3-K9 demethylation;histone lysine demethylation;histone modification;in utero embryonic development;intracellular signal transduction;leukocyte differentiation;macromolecule biosynthetic process;macromolecule metabolic process;macromolecule modification;metabolic process;multicellular organismal process;muscle cell development;myeloid cell differentiation;myeloid leukocyte differentiation;negative regulation of binding;negative regulation of biological process;negative regulation of biosynthetic process;negative regulation of cell communication;negative regulation of cellular biosynthetic process;negative regulation of cellular component organization;negative regulation of cellular macromolecule biosynthetic process;negative regulation of cellular metabolic process;negative regulation of cellular process;negative regulation of cellular protein metabolic process;negative regulation of DNA binding;negative regulation of DNA damage response, signal transduction by p53 class mediator;negative regulation of gene expression;negative regulation of histone H3-K4 methylation;negative regulation of histone H3-K9 methylation;negative regulation of histone methylation;negative regulation of histone modification;negative regulation of macromolecule biosynthetic process;negative regulation of macromolecule metabolic process;negative regulation of metabolic process;negative regulation of molecular function;negative regulation of nitrogen compound metabolic process;negative regulation of nucleobase-containing compound metabolic process;negative regulation of organelle organization;negative regulation of protein binding;negative regulation of protein metabolic process;negative regulation of protein modification process;negative regulation of response to DNA damage stimulus;negative regulation of response to stimulus;negative regulation of RNA metabolic process;negative regulation of sequence-specific DNA binding transcription factor activity;negative regulation of signal transduction;negative regulation of signaling;negative regulation of transcription from RNA polymerase II promoter;negative regulation of transcription, DNA-dependent;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;one-carbon metabolic process;organ development;organelle organization;pituitary gland development;positive regulation of biological process;positive regulation of biosynthetic process;positive regulation of cell differentiation;positive regulation of cell proliferation;positive regulation of cellular biosynthetic process;positive regulation of cellular metabolic process;positive regulation of cellular process;positive regulation of developmental process;positive regulation of erythrocyte differentiation;positive regulation of gene expression;positive regulation of hormone biosynthetic process;positive regulation of hormone metabolic process;positive regulation of macromolecule biosynthetic process;positive regulation of macromolecule metabolic process;positive regulation of megakaryocyte differentiation;positive regulation of metabolic process;positive regulation of molecular function;positive regulation of myeloid cell differentiation;positive regulation of neural precursor cell proliferation;positive regulation of nitrogen compound metabolic process;positive regulation of nucleobase-containing compound metabolic process;positive regulation of RNA metabolic process;positive regulation of sequence-specific DNA binding transcription factor activity;positive regulation of stem cell proliferation;positive regulation of transcription from RNA polymerase II promoter;positive regulation of transcription, DNA-dependent;primary metabolic process;protein dealkylation;protein demethylation;protein metabolic process;protein modification process;regulation of binding;regulation of biological process;regulation of biological quality;regulation of biosynthetic process;regulation of body fluid levels;regulation of cell communication;regulation of cell differentiation;regulation of cell proliferation;regulation of cellular biosynthetic process;regulation of cellular component organization;regulation of cellular macromolecule biosynthetic process;regulation of cellular metabolic process;regulation of cellular process;regulation of cellular protein metabolic process;regulation of cellular response to stress;regulation of chromosome organization;regulation of developmental process;regulation of DNA binding;regulation of DNA damage response, signal transduction by p53 class mediator;regulation of embryonic development;regulation of erythrocyte differentiation;regulation of gene expression;regulation of histone H3-K4 methylation;regulation of histone H3-K9 methylation;regulation of histone methylation;regulation of histone modification;regulation of homeostatic process;regulation of hormone biosynthetic process;regulation of hormone metabolic process;regulation of immune system process;regulation of macromolecule biosynthetic process;regulation of macromolecule metabolic process;regulation of megakaryocyte differentiation;regulation of metabolic process;regulation of molecular function;regulation of multicellular organismal development;regulation of multicellular organismal process;regulation of myeloid cell differentiation;regulation of neural precursor cell proliferation;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of organelle organization;regulation of primary metabolic process;regulation of primitive erythrocyte differentiation;regulation of protein binding;regulation of protein metabolic process;regulation of protein modification process;regulation of response to DNA damage stimulus;regulation of response to stimulus;regulation of response to stress;regulation of RNA metabolic process;regulation of sequence-specific DNA binding transcription factor activity;regulation of signal transduction;regulation of signaling;regulation of stem cell proliferation;regulation of transcription from RNA polymerase II promoter;regulation of transcription, DNA-dependent;response to stimulus;RNA biosynthetic process;RNA metabolic process;signal transduction;small GTPase mediated signal transduction;small molecule metabolic process;transcription, DNA-dependent",androgen receptor binding;bHLH transcription factor binding;binding;catalytic activity;chromatin binding;coenzyme binding;cofactor binding;demethylase activity;DNA binding;enzyme binding;flavin adenine dinucleotide binding;histone demethylase activity;histone demethylase activity (H3-dimethyl-K4 specific);histone demethylase activity (H3-K4 specific);histone demethylase activity (H3-K9 specific);hormone receptor binding;ligand-dependent nuclear receptor transcription coactivator activity;MRF binding;nuclear hormone receptor binding;nucleic acid binding;nucleic acid binding transcription factor activity;oxidoreductase activity;p53 binding;protein binding;protein binding transcription factor activity;receptor binding;regulatory region DNA binding;regulatory region nucleic acid binding;sequence-specific DNA binding transcription factor activity;steroid hormone receptor binding;transcription coactivator activity;transcription cofactor activity;transcription factor binding;transcription factor binding transcription factor activity;transcription regulatory region DNA binding
Q99453,PHX2B,1.58243,0.731394,0.97314,1.6233,1.03752,"anatomical structure development;anatomical structure morphogenesis;autonomic nervous system development;axonogenesis;biological regulation;brainstem development;cell development;cell differentiation;cell differentiation in hindbrain;cell migration;cell migration in hindbrain;cell motility;cell part morphogenesis;cell projection morphogenesis;cell projection organization;cellular component morphogenesis;cellular component movement;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular developmental process;cellular process;cellular response to BMP stimulus;cellular response to chemical stimulus;cellular response to endogenous stimulus;cellular response to growth factor stimulus;cellular response to organic substance;cellular response to stimulus;central nervous system neuron axonogenesis;developmental process;dopaminergic neuron differentiation;efferent axon development in a lateral line nerve;enteric nervous system development;glial cell differentiation;hindbrain tangential cell migration;inner ear development;locomotion;multicellular organismal process;muscle cell differentiation;negative regulation of biological process;negative regulation of cell cycle arrest;negative regulation of cell cycle process;negative regulation of cell differentiation;negative regulation of cell proliferation;negative regulation of cellular process;negative regulation of developmental process;negative regulation of neuron differentiation;neurological system process;neuron development;neuron differentiation;neuron migration;neuron projection morphogenesis;noradrenergic neuron development;noradrenergic neuron differentiation;parasympathetic nervous system development;positive regulation of biological process;positive regulation of biosynthetic process;positive regulation of cell cycle;positive regulation of cell cycle process;positive regulation of cell differentiation;positive regulation of cellular biosynthetic process;positive regulation of cellular metabolic process;positive regulation of cellular process;positive regulation of developmental process;positive regulation of G2/M transition of mitotic cell cycle;positive regulation of gene expression;positive regulation of macromolecule biosynthetic process;positive regulation of macromolecule metabolic process;positive regulation of metabolic process;positive regulation of mitotic cell cycle;positive regulation of neuron differentiation;positive regulation of nitrogen compound metabolic process;positive regulation of nucleobase-containing compound metabolic process;positive regulation of RNA metabolic process;positive regulation of transcription from RNA polymerase II promoter;positive regulation of transcription, DNA-dependent;regulation of biological process;regulation of biosynthetic process;regulation of cell cycle;regulation of cell cycle arrest;regulation of cell cycle process;regulation of cell development;regulation of cell differentiation;regulation of cell proliferation;regulation of cellular biosynthetic process;regulation of cellular macromolecule biosynthetic process;regulation of cellular metabolic process;regulation of cellular process;regulation of developmental process;regulation of G2/M transition of mitotic cell cycle;regulation of gene expression;regulation of interphase of mitotic cell cycle;regulation of macromolecule biosynthetic process;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of mitotic cell cycle;regulation of multicellular organismal development;regulation of multicellular organismal process;regulation of nervous system development;regulation of neurogenesis;regulation of neuron differentiation;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of primary metabolic process;regulation of respiratory gaseous exchange;regulation of respiratory gaseous exchange by neurological system process;regulation of respiratory system process;regulation of RNA metabolic process;regulation of system process;regulation of transcription from RNA polymerase II promoter;regulation of transcription, DNA-dependent;respiratory system development;response to BMP stimulus;response to chemical stimulus;response to endogenous stimulus;response to growth factor stimulus;response to organic substance;response to stimulus;rhombencephalic reticular formation development;skeletal muscle cell differentiation;striated muscle cell differentiation;sympathetic nervous system development;system development;system process",binding;core promoter proximal region DNA binding;core promoter proximal region sequence-specific DNA binding;DNA binding;nucleic acid binding;nucleic acid binding transcription factor activity;regulatory region DNA binding;regulatory region nucleic acid binding;RNA polymerase II core promoter proximal region sequence-specific DNA binding;RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity;RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription;RNA polymerase II regulatory region DNA binding;RNA polymerase II regulatory region sequence-specific DNA binding;sequence-specific DNA binding;sequence-specific DNA binding RNA polymerase II transcription factor activity;sequence-specific DNA binding transcription factor activity;transcription regulatory region DNA binding;transcription regulatory region sequence-specific DNA binding
Q96JP5,ZFP91,-0.285265,-0.162527,-0.15204,-0.108292,-0.119548,activation of NF-kappaB-inducing kinase activity;activation of protein kinase activity;biological regulation;cellular macromolecule metabolic process;cellular metabolic process;cellular process;cellular protein metabolic process;macromolecule metabolic process;macromolecule modification;metabolic process;positive regulation of catalytic activity;positive regulation of kinase activity;positive regulation of molecular function;positive regulation of protein kinase activity;positive regulation of protein serine/threonine kinase activity;positive regulation of transferase activity;primary metabolic process;protein K63-linked ubiquitination;protein metabolic process;protein modification by small protein conjugation;protein modification by small protein conjugation or removal;protein modification process;protein polyubiquitination;protein ubiquitination;regulation of biological process;regulation of catalytic activity;regulation of cellular metabolic process;regulation of cellular process;regulation of cellular protein metabolic process;regulation of kinase activity;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of molecular function;regulation of phosphate metabolic process;regulation of phosphorus metabolic process;regulation of phosphorylation;regulation of primary metabolic process;regulation of protein kinase activity;regulation of protein metabolic process;regulation of protein modification process;regulation of protein phosphorylation;regulation of protein serine/threonine kinase activity;regulation of response to stimulus;regulation of signal transduction;regulation of signaling;regulation of transferase activity,"acid-amino acid ligase activity;binding;catalytic activity;cation binding;ion binding;ligase activity;ligase activity, forming carbon-nitrogen bonds;metal ion binding;nucleic acid binding;small conjugating protein ligase activity;ubiquitin-protein ligase activity"
Q8N697,S15A4,-0.192904,0.0371716,0.619546,0.594211,0.217505,cellular process;establishment of localization;establishment of protein localization;ion transport;oligopeptide transport;peptide transport;protein transport;transmembrane transport;transport,active transmembrane transporter activity;amine transmembrane transporter activity;amino acid transmembrane transporter activity;basic amino acid transmembrane transporter activity;carboxylic acid transmembrane transporter activity;L-amino acid transmembrane transporter activity;L-histidine transmembrane transporter activity;organic acid transmembrane transporter activity;secondary active transmembrane transporter activity;substrate-specific transmembrane transporter activity;substrate-specific transporter activity;symporter activity;transmembrane transporter activity;transporter activity
Q9Y4H2,IRS2,0.644325,0.489665,0.0354285,-0.0833459,0.600658,alcohol metabolic process;anatomical structure development;biological regulation;brain development;carbohydrate homeostasis;carbohydrate metabolic process;cell proliferation;cell surface receptor linked signaling pathway;cellular carbohydrate metabolic process;cellular chemical homeostasis;cellular glucose homeostasis;cellular homeostasis;cellular metabolic process;cellular process;cellular response to carbohydrate stimulus;cellular response to chemical stimulus;cellular response to endogenous stimulus;cellular response to fibroblast growth factor stimulus;cellular response to glucose stimulus;cellular response to growth factor stimulus;cellular response to hexose stimulus;cellular response to hormone stimulus;cellular response to insulin stimulus;cellular response to monosaccharide stimulus;cellular response to organic substance;cellular response to peptide hormone stimulus;cellular response to stimulus;chemical homeostasis;defense response;developmental process;enzyme linked receptor protein signaling pathway;epidermal growth factor receptor signaling pathway;fibroblast growth factor receptor signaling pathway;gland development;glucose homeostasis;glucose metabolic process;hexose metabolic process;homeostatic process;immune response;immune system process;innate immune response;inositol lipid-mediated signaling;insulin receptor signaling pathway;intracellular protein kinase cascade;intracellular signal transduction;JAK-STAT cascade;JAK-STAT cascade involved in growth hormone signaling pathway;lipid homeostasis;mammary gland development;metabolic process;monosaccharide metabolic process;negative regulation of apoptosis;negative regulation of B cell apoptosis;negative regulation of biological process;negative regulation of catalytic activity;negative regulation of cell death;negative regulation of cellular process;negative regulation of fatty acid transport;negative regulation of kinase activity;negative regulation of leukocyte apoptosis;negative regulation of lipid transport;negative regulation of lymphocyte apoptosis;negative regulation of molecular function;negative regulation of organic acid transport;negative regulation of plasma membrane long-chain fatty acid transport;negative regulation of programmed cell death;negative regulation of transferase activity;negative regulation of transmembrane transport;negative regulation of transport;nerve growth factor receptor signaling pathway;organ development;phosphatidylinositol-mediated signaling;positive regulation of B cell activation;positive regulation of B cell proliferation;positive regulation of biological process;positive regulation of biosynthetic process;positive regulation of carbohydrate metabolic process;positive regulation of catabolic process;positive regulation of cell activation;positive regulation of cell migration;positive regulation of cell motility;positive regulation of cell proliferation;positive regulation of cellular biosynthetic process;positive regulation of cellular carbohydrate metabolic process;positive regulation of cellular catabolic process;positive regulation of cellular component movement;positive regulation of cellular metabolic process;positive regulation of cellular process;positive regulation of fatty acid beta-oxidation;positive regulation of fatty acid metabolic process;positive regulation of fatty acid oxidation;positive regulation of glucose import;positive regulation of glucose metabolic process;positive regulation of glucose transport;positive regulation of glycogen biosynthetic process;positive regulation of glycogen metabolic process;positive regulation of hormone secretion;positive regulation of immune system process;positive regulation of insulin secretion;positive regulation of leukocyte activation;positive regulation of leukocyte proliferation;positive regulation of lipid catabolic process;positive regulation of lipid metabolic process;positive regulation of locomotion;positive regulation of lymphocyte activation;positive regulation of lymphocyte proliferation;positive regulation of macromolecule biosynthetic process;positive regulation of macromolecule metabolic process;positive regulation of mesenchymal cell proliferation;positive regulation of metabolic process;positive regulation of mononuclear cell proliferation;positive regulation of peptide hormone secretion;positive regulation of peptide secretion;positive regulation of secretion;positive regulation of transport;primary metabolic process;regulation of apoptosis;regulation of B cell activation;regulation of B cell apoptosis;regulation of B cell proliferation;regulation of biological process;regulation of biological quality;regulation of biosynthetic process;regulation of carbohydrate biosynthetic process;regulation of carbohydrate metabolic process;regulation of catabolic process;regulation of catalytic activity;regulation of cell activation;regulation of cell communication;regulation of cell death;regulation of cell migration;regulation of cell motility;regulation of cell proliferation;regulation of cellular biosynthetic process;regulation of cellular carbohydrate metabolic process;regulation of cellular catabolic process;regulation of cellular component movement;regulation of cellular ketone metabolic process;regulation of cellular localization;regulation of cellular macromolecule biosynthetic process;regulation of cellular metabolic process;regulation of cellular process;regulation of fatty acid beta-oxidation;regulation of fatty acid metabolic process;regulation of fatty acid oxidation;regulation of fatty acid transport;regulation of generation of precursor metabolites and energy;regulation of glucan biosynthetic process;regulation of glucose import;regulation of glucose metabolic process;regulation of glucose transport;regulation of glycogen biosynthetic process;regulation of glycogen metabolic process;regulation of hormone secretion;regulation of immune system process;regulation of insulin secretion;regulation of kinase activity;regulation of leukocyte activation;regulation of leukocyte apoptosis;regulation of leukocyte proliferation;regulation of lipid catabolic process;regulation of lipid metabolic process;regulation of lipid transport;regulation of localization;regulation of locomotion;regulation of lymphocyte activation;regulation of lymphocyte apoptosis;regulation of lymphocyte proliferation;regulation of macromolecule biosynthetic process;regulation of macromolecule metabolic process;regulation of mesenchymal cell proliferation;regulation of metabolic process;regulation of molecular function;regulation of mononuclear cell proliferation;regulation of organic acid transport;regulation of peptide hormone secretion;regulation of peptide secretion;regulation of peptide transport;regulation of phosphate metabolic process;regulation of phosphorus metabolic process;regulation of phosphorylation;regulation of plasma membrane long-chain fatty acid transport;regulation of polysaccharide biosynthetic process;regulation of polysaccharide metabolic process;regulation of primary metabolic process;regulation of programmed cell death;regulation of secretion;regulation of signaling;regulation of transferase activity;regulation of transmembrane transport;regulation of transport;response to carbohydrate stimulus;response to chemical stimulus;response to endogenous stimulus;response to fibroblast growth factor stimulus;response to glucose stimulus;response to growth factor stimulus;response to hexose stimulus;response to hormone stimulus;response to insulin stimulus;response to monosaccharide stimulus;response to organic substance;response to peptide hormone stimulus;response to stimulus;response to stress;signal transduction;small molecule metabolic process;transmembrane receptor protein tyrosine kinase signaling pathway,binding;enzyme binding;insulin receptor binding;kinase binding;molecular transducer activity;phosphatidylinositol 3-kinase binding;protein binding;protein complex binding;receptor binding;signal transducer activity
P36578,RL4,0.501044,0.50352,0.263835,0.38733,0.507928,"biosynthetic process;catabolic process;cellular biosynthetic process;cellular catabolic process;cellular component disassembly;cellular component disassembly at cellular level;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular macromolecular complex disassembly;cellular macromolecular complex subunit organization;cellular macromolecule biosynthetic process;cellular macromolecule catabolic process;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cellular process involved in reproduction;cellular protein complex disassembly;cellular protein metabolic process;cotranslational protein targeting to membrane;establishment of localization;establishment of localization in cell;establishment of protein localization;establishment of protein localization in endoplasmic reticulum;establishment of protein localization to organelle;gene expression;intracellular protein transport;intracellular transport;macromolecular complex disassembly;macromolecular complex subunit organization;macromolecule biosynthetic process;macromolecule catabolic process;macromolecule metabolic process;metabolic process;mRNA catabolic process;mRNA metabolic process;nitrogen compound metabolic process;nuclear-transcribed mRNA catabolic process;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay;nucleic acid metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;protein complex disassembly;protein complex subunit organization;protein metabolic process;protein targeting;protein targeting to ER;protein targeting to membrane;protein transport;reproductive process;RNA biosynthetic process;RNA catabolic process;RNA metabolic process;SRP-dependent cotranslational protein targeting to membrane;translation;translational elongation;translational initiation;translational termination;transport;viral infectious cycle;viral reproduction;viral reproductive process;viral transcription",binding;nucleic acid binding;RNA binding;structural constituent of ribosome;structural molecule activity
Q96T58,MINT,-0.0756235,-0.0474164,0.0121412,-0.0139647,0.0408673,"biological regulation;cell surface receptor linked signaling pathway;cellular process;cellular response to stimulus;negative regulation of biological process;negative regulation of biosynthetic process;negative regulation of cellular biosynthetic process;negative regulation of cellular macromolecule biosynthetic process;negative regulation of cellular metabolic process;negative regulation of cellular process;negative regulation of gene expression;negative regulation of macromolecule biosynthetic process;negative regulation of macromolecule metabolic process;negative regulation of metabolic process;negative regulation of nitrogen compound metabolic process;negative regulation of nucleobase-containing compound metabolic process;negative regulation of RNA metabolic process;negative regulation of transcription from RNA polymerase II promoter;negative regulation of transcription, DNA-dependent;Notch signaling pathway;positive regulation of biological process;positive regulation of biosynthetic process;positive regulation of cell development;positive regulation of cell differentiation;positive regulation of cellular biosynthetic process;positive regulation of cellular metabolic process;positive regulation of cellular process;positive regulation of developmental process;positive regulation of gene expression;positive regulation of macromolecule biosynthetic process;positive regulation of macromolecule metabolic process;positive regulation of metabolic process;positive regulation of neurogenesis;positive regulation of nitrogen compound metabolic process;positive regulation of nucleobase-containing compound metabolic process;positive regulation of RNA metabolic process;positive regulation of transcription, DNA-dependent;regulation of biological process;regulation of biosynthetic process;regulation of cell development;regulation of cell differentiation;regulation of cellular biosynthetic process;regulation of cellular macromolecule biosynthetic process;regulation of cellular metabolic process;regulation of cellular process;regulation of developmental process;regulation of gene expression;regulation of macromolecule biosynthetic process;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of multicellular organismal development;regulation of multicellular organismal process;regulation of nervous system development;regulation of neurogenesis;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of primary metabolic process;regulation of RNA metabolic process;regulation of transcription from RNA polymerase II promoter;regulation of transcription, DNA-dependent;response to stimulus;signal transduction;viral reproduction",binding;DNA binding;nucleic acid binding;nucleic acid binding transcription factor activity;nucleotide binding;protein binding;protein binding transcription factor activity;RNA polymerase II transcription factor binding;RNA polymerase II transcription factor binding transcription factor activity;RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription;sequence-specific DNA binding transcription factor activity;single-stranded DNA binding;structure-specific DNA binding;transcription cofactor activity;transcription corepressor activity;transcription factor binding;transcription factor binding transcription factor activity
Q6SPF0,SAMD1,-0.272329,0.00640178,0.0123823,-0.24217,-0.25843,,
Q9ULW3,ABT1,-0.135984,-0.108543,-0.0192275,-0.0191727,0.197011,"biological regulation;biosynthetic process;cell differentiation;cell differentiation in spinal cord;cellular biosynthetic process;cellular component assembly;cellular component assembly at cellular level;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular developmental process;cellular macromolecular complex assembly;cellular macromolecular complex subunit organization;cellular macromolecule biosynthetic process;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;central nervous system neuron differentiation;cleavage involved in rRNA processing;developmental process;endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);endonucleolytic cleavage involved in rRNA processing;endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA);macromolecular complex assembly;macromolecular complex subunit organization;macromolecule biosynthetic process;macromolecule metabolic process;metabolic process;ncRNA 5'-end processing;ncRNA metabolic process;ncRNA processing;neuron differentiation;nitrogen compound metabolic process;nucleic acid metabolic process;nucleic acid phosphodiester bond hydrolysis;nucleobase-containing compound metabolic process;primary metabolic process;regulation of biological process;regulation of biosynthetic process;regulation of cellular biosynthetic process;regulation of cellular macromolecule biosynthetic process;regulation of cellular metabolic process;regulation of cellular process;regulation of gene expression;regulation of macromolecule biosynthetic process;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of primary metabolic process;regulation of RNA metabolic process;regulation of transcription from RNA polymerase II promoter;regulation of transcription, DNA-dependent;ribonucleoprotein complex assembly;ribonucleoprotein complex subunit organization;RNA 5'-end processing;RNA biosynthetic process;RNA metabolic process;RNA processing;rRNA 5'-end processing;small-subunit processome assembly;spinal cord motor neuron differentiation;transcription from RNA polymerase II promoter;transcription, DNA-dependent",binding;DNA binding;nucleic acid binding;nucleotide binding;protein binding transcription factor activity;transcription coactivator activity;transcription cofactor activity;transcription factor binding transcription factor activity
