Uniprot_ID	KEGG_sce	BRENDA	Complex Portal	EMBL	EcoGene	Ensembl_Transcript	Ensembl_Protein	Ensembl_Gene	Entrez Gene	Enzyme Nomenclature	GenBank	HGNC	HGNC Accession number	HomoloGene	InterPro	KEGG Genes	NCBI Protein	Pfam	Reactome	RefSeq	Rfam	Uniprot-TrEMBL	WikiPathways	Wikidata	miRBase Sequence	miRBase mature sequence	pato
UniProtID	NA																										
A0A0B4JCQ5	NA			AE013599					35790						IPR007651,IPR013209,IPR026058,IPR031315,IPR031703,IPR036412			PF04571,PF08235,PF16876		NP_001188875.1							
A0A0B4JCY1	dme:Dmel_CG16718			AE014297					42340						IPR007632,IPR032394,IPR049452	dme:Dmel_CG16718		PF04547,PF16178	R-DME-2672351	NP_001189248.1							
A0A0B4JD00	NA			AE013599					35790						IPR007651,IPR013209,IPR026058,IPR031315,IPR031703,IPR036412			PF04571,PF08235,PF16876		NP_001188874.1							
A0A0B4JD07	NA			AE013599					35950						IPR000008,IPR000719,IPR000961,IPR008271,IPR011009,IPR011072,IPR017441,IPR017892,IPR035892,IPR036274,IPR037313			PF00069,PF00433,PF02185		NP_001188896.1,NP_001188897.3							
A0A0B4K5Z8	dme:Dmel_CG1250		CPX-2400	AE014297					40694						IPR006895,IPR006896,IPR006900,IPR007123,IPR012990,IPR029006,IPR036174,IPR036175,IPR036180,IPR036465,IPR037364,IPR037550	dme:Dmel_CG1250		PF00626,PF04810,PF04811,PF04815,PF08033	R-DME-204005,R-DME-5694530,R-DME-983170	NP_001246932.1							
A0A0B4K602	NA			AE014297					40813						IPR001487,IPR009067,IPR011177,IPR017956,IPR018359,IPR022591,IPR036427,IPR036741,IPR040240,IPR041670			PF00439,PF09247,PF12157,PF15288		NP_001246952.1							
A0A0B4K692	dme:Dmel_CG9761	3.4.24.B14		AE014297,AF132153,BT120170					40588						IPR000718,IPR008753,IPR018497,IPR024079,IPR042089	dme:Dmel_CG9761		PF01431,PF05649	R-DME-2022377,R-DME-5578768,R-DME-6798695	NP_001246914.1,NP_001262260.1,NP_524227.1							
A0A0B4K697	NA			AE014297					49701						IPR000719,IPR008271,IPR011009,IPR022247,IPR050235			PF00069,PF12605		NP_001247137.1							
A0A0B4K6N5	NA			AE014297					43670						IPR004843,IPR006186,IPR029052,IPR041751,IPR043360			PF00149		NP_001247377.1							
A0A0B4K6T4	NA			AE014297					40694						IPR006895,IPR006896,IPR006900,IPR007123,IPR012990,IPR029006,IPR036174,IPR036175,IPR036180,IPR036465,IPR037364,IPR037550			PF00626,PF04810,PF04811,PF04815,PF08033		NP_001246933.1,NP_001246934.1							
A0A0B4K6U3	NA			AE013599					35950						IPR000008,IPR000719,IPR000961,IPR008271,IPR011009,IPR011072,IPR017441,IPR017892,IPR035892,IPR036274,IPR037313			PF00069,PF00433,PF02185		NP_001246220.1							
A0A0B4K6V6	dme:Dmel_CG1455			AE014297					43670						IPR004843,IPR006186,IPR029052,IPR041751,IPR043360	dme:Dmel_CG1455		PF00149		NP_001247378.2,NP_524600.3							
A0A0B4K727	NA			AE013599					35950						IPR000008,IPR000719,IPR000961,IPR008271,IPR011009,IPR011072,IPR017441,IPR017892,IPR035892,IPR036274,IPR037313			PF00069,PF00433,PF02185		NP_001188895.1,NP_001246221.1							
A0A0B4K7C4	NA			AE014297					49701						IPR000719,IPR008271,IPR011009,IPR022247,IPR050235			PF00069,PF12605		NP_001247138.1							
A0A0B4K7C5	dme:Dmel_CG9847			AE013599					37449						IPR001179,IPR002048,IPR011992,IPR018247,IPR046357,IPR052273	dme:Dmel_CG9847		PF00254		NP_001246448.1							
A0A0B4K7J2	dme:Dmel_CG11856		CPX-2568	AE014297,AY095055,BT100062					43041						IPR000156,IPR001876,IPR011990,IPR011993,IPR036443,IPR045255	dme:Dmel_CG11856		PF00638,PF00641	R-DME-159227,R-DME-159230,R-DME-159231,R-DME-159236,R-DME-3108214,R-DME-3301854,R-DME-4085377,R-DME-4551638,R-DME-4615885,R-DME-5578749	NP_001247302.1,NP_651361.2							
A0A0B4K7J3	dme:Dmel_CG1891			AE013599					35731						IPR000333,IPR000472,IPR000719,IPR001245,IPR003605,IPR008271,IPR011009,IPR017441,IPR045860	dme:Dmel_CG1891		PF01064,PF07714,PF08515	R-DME-201451	NP_001246193.1							
A0A0B4KEE4	dme:Dmel_CG44154			AE013599					35594						IPR012919,IPR045119	dme:Dmel_CG44154		PF07738		NP_001260738.1,NP_001260739.1							
A0A0B4KEN4	dme:Dmel_CG8075			AE013599					35922						IPR009539	dme:Dmel_CG8075		PF06638	R-DME-8980692,R-DME-9013026,R-DME-9013149,R-DME-9013404,R-DME-9013405,R-DME-9013406,R-DME-9013407,R-DME-9013408,R-DME-9013420,R-DME-9013423,R-DME-9013424,R-DME-9035034	NP_001260819.1							
A0A0B4KEY9	NA			AE013599					36442						IPR000095,IPR000719,IPR001245,IPR001452,IPR008266,IPR011009,IPR017441,IPR020635,IPR036028,IPR049587,IPR050198,IPR055175			PF00786,PF07714,PF22931		NP_001260934.1							
A0A0B4KF46	dme:Dmel_CG1782			AE013599					35998						IPR000011,IPR000594,IPR018074,IPR018075,IPR018965,IPR019572,IPR032418,IPR032420,IPR033127,IPR035985,IPR038252,IPR042063,IPR042302,IPR042449,IPR045886	dme:Dmel_CG1782		PF00899,PF09358,PF10585,PF16190,PF16191		NP_001260831.1							
