Uniprot_ID	KEGG_sce
UniProtID	NA
A0A0B4JCQ5	NA
A0A0B4JCY1	dme:Dmel_CG16718
A0A0B4JD00	NA
A0A0B4JD07	NA
A0A0B4K5Z8	dme:Dmel_CG1250
A0A0B4K602	NA
A0A0B4K692	dme:Dmel_CG9761
A0A0B4K697	NA
A0A0B4K6N5	NA
A0A0B4K6T4	NA
A0A0B4K6U3	NA
A0A0B4K6V6	dme:Dmel_CG1455
A0A0B4K727	NA
A0A0B4K7C4	NA
A0A0B4K7C5	dme:Dmel_CG9847
A0A0B4K7J2	dme:Dmel_CG11856
A0A0B4K7J3	dme:Dmel_CG1891
A0A0B4KEE4	dme:Dmel_CG44154
A0A0B4KEN4	dme:Dmel_CG8075
A0A0B4KEY9	NA
A0A0B4KF46	dme:Dmel_CG1782
A0A0B4KF86	dme:Dmel_CG3615
A0A0B4KFE4	NA
A0A0B4KFL3	dme:Dmel_CG10229
A0A0B4KFN0	NA
A0A0B4KFU0	NA
A0A0B4KFW0	dme:Dmel_CG11228
A0A0B4KFY0	dme:Dmel_CG12489
A0A0B4KG59	NA
A0A0B4KGD0	dme:Dmel_CG5393
A0A0B4KGE1	NA
A0A0B4KGG8	NA
A0A0B4KGI7	NA
A0A0B4KGN1	NA
A0A0B4KGS4	dme:Dmel_CG14895
A0A0B4KGX7	dme:Dmel_CG7719
A0A0B4KGY6	dme:Dmel_CG42670
A0A0B4KH10	NA
A0A0B4KH16	NA
A0A0B4KH25	dme:Dmel_CG5499
A0A0B4KH64	NA
A0A0B4KHB9	NA
A0A0B4KHF0	NA
A0A0B4KHH7	dme:Dmel_CG13645
A0A0B4KHL4	NA
A0A0B4KHP7	NA
A0A0B4KHS6	NA
A0A0B4KHS7	dme:Dmel_CG4257
A0A0B4KHT3	NA
A0A0B4KHX3	dme:Dmel_CG2048
A0A0B4KHX7	NA
A0A0B4KI27	NA
A0A0B4KI54	dme:Dmel_CG1395
A0A0B4LEI8	NA
A0A0B4LEY0	dme:Dmel_CG8024
A0A0B4LEY5	NA
A0A0B4LF03	NA
A0A0B4LFK8	NA
A0A0B4LFQ3	NA
A0A0B4LFV0	NA
A0A0B4LFW1	NA
A0A0B4LFX2	NA
A0A0B4LFY9	dme:Dmel_CG1667
A0A0B4LFZ4	NA
A0A0B4LGB7	NA
A0A0B4LGH1	NA
A0A0B4LGI1	NA
A0A0B4LGU9	NA
A0A0B4LGY8	dme:Dmel_CG7097
A0A0B4LGZ3	dme:Dmel_CG6235
A0A0B4LHJ5	NA
A0A0B4LHX7	dme:Dmel_CG7850
A0A0B4LI86	dme:Dmel_CG3180
A0A0B4LIA3	NA
A0A0B7P9G0	dme:Dmel_CG42595
A0A0C4DHF6	NA
A0A0U1QT59	dme:Dmel_CG46121
A0A126GUP6	dme:Dmel_CG1102
A0A126GUT4	NA
A0A126GUV7	dme:Dmel_CG7693
A0A126GV10	NA
A0A126GV13	NA
A0A1F4	dme:Dmel_CG33955
A0A4D6K293	NA
A0A4D6K3W6	NA
A0A4D6K823	NA
A0A6H2EEQ6	NA
A0A6H2EEY2	NA
A0A6H2EF36	NA
A0T1Z4	dme:Dmel_CG9764
A0T1Z5	NA
A1A703	dme:Dmel_CG17299
A1Z6E0	dme:Dmel_CG2944
A1Z6H7	dme:Dmel_CG7897
A1Z6I7	dme:Dmel_CG7838
A1Z6I9	NA
A1Z6S7	dme:Dmel_CG3572
A1Z6W3	dme:Dmel_CG11084
A1Z7A8	dme:Dmel_CG8710
A1Z7G7	dme:Dmel_CG8639
A1Z7H2	NA
A1Z7H3	dme:Dmel_CG8732
A1Z7K9	dme:Dmel_CG8232
