Uniprot_ID	KEGG_Gene_ID	BRENDA	Complex Portal	EMBL	EcoGene	Ensembl_Transcript	Ensembl_Protein	Ensembl_Gene	Entrez Gene	Enzyme Nomenclature	GenBank	HGNC	HGNC Accession number	HomoloGene	InterPro	KEGG Genes	NCBI Protein	Pfam	Reactome	RefSeq	Rfam	Uniprot-TrEMBL	WikiPathways	Wikidata	miRBase Sequence	miRBase mature sequence	pato
UniProtID	NA																										
A0A075F5C6	NA			KM043055					15499						IPR000232,IPR010542,IPR036388,IPR036390			PF00447,PF06546		NP_001318082.1							
A0A087WPF7	NA			AC102355,AC103371,AC104195,AC113203,AC113510,AC117622,AC118932,AC121298,AC121500,AC157928,AC164607,AK052418,AK129144,BC151031,BC151047					319974						IPR023246			PF15336	R-MMU-8939243	NP_001350409.1,NP_796021.2							
A0A087WPT2	NA														IPR000742,IPR037120,IPR050783												
A0A087WRK1	mmu:73329								100042201,100042279,108167378,108168553,108168555,108168558,382301						IPR006888,IPR051443	mmu:100042201,mmu:100042279,mmu:108167378,mmu:108168553,mmu:108168555,mmu:108168557,mmu:108168558,mmu:382301,mmu:73329		PF04803		NP_963288.2,XP_006542689.1,XP_017174220.1,XP_017174223.1,XP_017174224.1,XP_017174226.1,XP_017174227.1,XP_017174228.1,XP_017174229.1,XP_017174235.1,XP_017174236.1,XP_017174237.1,XP_017174239.1,XP_017174241.1,XP_017174248.1,XP_017174249.1,XP_017174251.1,XP_017174264.1,XP_017174372.1,XP_017174413.1							
A0A087WRT4	NA								14107						IPR000152,IPR000742,IPR001791,IPR001881,IPR002126,IPR009030,IPR013320,IPR015919,IPR018097,IPR020894,IPR049883			PF00008,PF00028,PF02210,PF07645		XP_006509340.1							
A0A087WSP5	mmu:20846								20846						IPR000980,IPR001217,IPR008967,IPR012345,IPR013799,IPR013800,IPR013801,IPR015988,IPR022752,IPR035859,IPR036535,IPR036860,IPR038295,IPR048988	mmu:20846		PF00017,PF01017,PF02864,PF02865,PF12162,PF21354		NP_001192242.1							
A0A088MLT8	mmu:100505386			EU163409,KJ941154					100505386						IPR015649,IPR029362,IPR039045	mmu:100505386		PF10148,PF15157		NP_001106890.1							
A0A0A6YWL7	NA														IPR000372,IPR000483,IPR000719,IPR001245,IPR001611,IPR002011,IPR003599,IPR007110,IPR008266,IPR011009,IPR013098,IPR013151,IPR013783,IPR017441,IPR020446,IPR020635,IPR020777,IPR031635,IPR032675,IPR036179,IPR050122			PF00047,PF01462,PF07679,PF07714,PF13855,PF16920		XP_011249118.1							
A0A0A6YXR0	NA														IPR000462,IPR014472,IPR043130,IPR048254			PF01066									
A0A0A6YXU9	NA								21808						IPR001111,IPR001839,IPR003940,IPR015615,IPR016319,IPR017948,IPR029034			PF00019,PF00688		NP_001316036.1							
A0A0B4J1F4	mmu:66412			AC101933,BC017528,CH466543					66412						IPR011021,IPR011022,IPR014752,IPR014756,IPR050357	mmu:66412		PF00339,PF02752		NP_001036057.1,NP_079825.2							
A0A0B4J1G0	mmu:246256			AC115959,AF499613,AK170920,BC027310,CH466520,EU050648					246256						IPR003598,IPR003599,IPR007110,IPR013783,IPR036179,IPR050488	mmu:246256		PF13895,PF13927	R-MMU-163125,R-MMU-198933,R-MMU-2029481,R-MMU-2029482,R-MMU-2029485,R-MMU-6798695	NP_653142.2							
A0A0B4J1N3	mmu:70045			CH466573,CT009495					70045						IPR031713	mmu:70045		PF15854		NP_001193613.1							
A0A0G2JDV3	NA			AK128993,BC057969,BC115768,BK005759,GL456119											IPR003191,IPR015894,IPR027417,IPR030386,IPR036543,IPR037684			PF02263,PF02841									
A0A0G2JGI9	NA								77559						IPR006421,IPR008928,IPR010401,IPR017853,IPR029436,IPR032788,IPR032790,IPR032792			PF06202,PF14699,PF14701,PF14702		NP_001349296.1							
A0A0G2JGS4	NA								108058						IPR000719,IPR008271,IPR011009,IPR013543,IPR017441,IPR032710			PF00069,PF08332		NP_001333564.1							
A0A0R4IZW4	mmu:18591								18591						IPR000072,IPR006782,IPR023581,IPR029034	mmu:18591		PF00341,PF04692		NP_035187.2,XP_017171991.1							
A0A0R4IZW5	mmu:12550								12550						IPR000233,IPR002126,IPR014868,IPR015919,IPR020894,IPR027397,IPR039808	mmu:12550		PF00028,PF01049,PF08758		NP_033994.1							
A0A0R4IZY3	mmu:14186								14186						IPR000719,IPR001245,IPR003598,IPR003599,IPR007110,IPR008266,IPR011009,IPR013098,IPR013783,IPR016248,IPR017441,IPR020635,IPR036179,IPR050122	mmu:14186		PF07679,PF07714,PF13927		NP_032037.2							
A0A0R4J008	mmu:15182								15182						IPR000286,IPR003084,IPR023696,IPR023801,IPR037138	mmu:15182		PF00850		NP_032255.2							
A0A0R4J049	mmu:27374								27374						IPR007857,IPR025799,IPR029063,IPR035075,IPR035247,IPR035248	mmu:27374		PF05185,PF17285,PF17286		NP_038796.2							
A0A0R4J083	mmu:11363								11363						IPR006089,IPR006091,IPR009075,IPR009100,IPR013786,IPR034179,IPR036250,IPR037069,IPR046373,IPR050741	mmu:11363		PF00441,PF02770,PF02771		NP_031407.2							
A0A0R4J097	mmu:21814								21814						IPR001507,IPR017977,IPR042235,IPR048290,IPR055355,IPR055356	mmu:21814		PF00100,PF23344		NP_035708.2							
A0A0R4J0A4	mmu:14254								14254						IPR000719,IPR001245,IPR001824,IPR003598,IPR003599,IPR007110,IPR008266,IPR009135,IPR011009,IPR013098,IPR013151,IPR013783,IPR017441,IPR020635,IPR036179,IPR041348,IPR050122,IPR055229,IPR055238	mmu:14254		PF00047,PF07679,PF07714,PF13927,PF17988,PF21339,PF22854,PF22971		NP_034358.2							
